,age,mean,std,mode,2.50%,25%,50%,75%,97.50%
597,29.905,4.268437659,0.943504423,4.029720042,2.546044167,3.631116639,4.204112416,4.85392064,6.293954231
598,29.955,4.244593794,0.934257038,4.065434108,2.565512403,3.604535063,4.178030837,4.820425931,6.25753109
599,30.005,4.224445416,0.929194602,4.072521547,2.601531497,3.59111068,4.152299663,4.78998618,6.244176012
600,30.055,4.208115677,0.920714536,4.022161443,2.586736106,3.58396928,4.131638061,4.752193959,6.196023577
601,30.105,4.194741551,0.908218561,4.059073823,2.618164474,3.580397985,4.125559763,4.720982527,6.185542361
602,30.155,4.18094656,0.885755895,4.011602463,2.641659092,3.59075778,4.108272319,4.686479335,6.156517727
603,30.205,4.164909586,0.861581288,4.015175112,2.660185283,3.588004081,4.095540305,4.668138046,6.081168616
604,30.255,4.146506598,0.839456184,3.946759967,2.658494848,3.584021092,4.078497317,4.645334424,6.004012162
605,30.305,4.128139297,0.818114174,4.090436754,2.669448155,3.577203507,4.072220267,4.622278408,5.949321926
606,30.355,4.109888393,0.798059346,3.923623712,2.696319072,3.570874717,4.052473386,4.597631204,5.850440943
607,30.405,4.090465535,0.779102308,3.87027696,2.733061076,3.559589899,4.032481355,4.560051945,5.765995396
608,30.455,4.071006704,0.761609089,3.887605804,2.721625236,3.553049036,4.011347047,4.526778585,5.720545361
609,30.505,4.052843086,0.745844055,3.911694638,2.738742119,3.544041651,3.995125779,4.510959425,5.673051018
610,30.555,4.03738464,0.733523121,3.844624214,2.731052745,3.537751817,3.978375572,4.491382413,5.610531826
611,30.605,4.026866366,0.727472242,3.883008566,2.755167411,3.530678085,3.970479676,4.463861341,5.608330479
612,30.655,4.019057041,0.731270284,3.970249766,2.757925086,3.510809681,3.963064645,4.446904508,5.666390986
613,30.705,4.013740677,0.745352067,3.828913839,2.744661299,3.496418877,3.942803467,4.453948898,5.709197008
614,30.755,4.010340591,0.770155087,3.790063088,2.710907344,3.477718586,3.934253325,4.451932756,5.728246519
615,30.805,4.009868347,0.805324206,3.763919448,2.661089435,3.457627373,3.931313449,4.466654749,5.816215133
616,30.855,4.009958557,0.851030244,3.756089534,2.590231764,3.426178062,3.92199665,4.478567583,5.973373441
617,30.905,4.013556986,0.9081339,3.760121562,2.508181615,3.384528028,3.910911202,4.511592069,6.122313863
618,30.955,4.017276369,0.968831777,3.743140037,2.442727164,3.352666577,3.90714195,4.556623171,6.262682073
619,31.005,4.020236073,1.02125413,3.711315352,2.371203068,3.318532861,3.898961253,4.584075819,6.419039995
620,31.055,4.021245412,1.070253138,3.791063497,2.307249156,3.284145362,3.889247278,4.606660511,6.489376108
621,31.105,4.024650869,1.121123514,3.685678761,2.251063196,3.239889282,3.877863101,4.641118714,6.647797152
622,31.155,4.022723701,1.164262509,3.668658569,2.226726049,3.207800895,3.863432079,4.660513628,6.768965088
623,31.205,4.019253435,1.196419356,3.638692621,2.170728761,3.169533928,3.848366607,4.666505204,6.816406045
624,31.255,4.014020516,1.220299039,3.538266774,2.127997414,3.149847589,3.839657063,4.690659032,6.867192076
625,31.305,4.007269677,1.244543715,3.623718049,2.116849632,3.122682418,3.828875787,4.714331498,6.946471509
