,1
0,-19.629344287866584
1,-19.629344287866584
2,-19.629344287866584
3,-19.629344287866584
4,-19.629344287866584
5,-20.250746748926435
6,-20.250746748926435
7,-20.250746748926435
8,-20.250746748926435
9,-20.824134749184985
10,-20.824134749184985
11,-20.824134749184985
12,-20.824134749184985
13,-21.0859477463998
14,-21.0859477463998
15,-21.0859477463998
16,-21.0859477463998
17,-21.320610895665077
18,-21.320610895665077
19,-21.320610895665077
20,-21.320610895665077
21,-21.552755434100497
22,-21.552755434100497
23,-21.552755434100497
24,-21.552755434100497
25,-21.78895468526097
26,-21.78895468526097
27,-21.78895468526097
28,-21.78895468526097
29,-22.016405481622503
30,-22.016405481622503
31,-22.016405481622503
32,-22.016405481622503
33,-22.249701458540976
34,-22.249701458540976
35,-22.249701458540976
36,-22.249701458540976
37,-22.482682901866625
38,-22.482682901866625
39,-22.482682901866625
40,-22.482682901866625
41,-22.715924710228187
42,-22.715924710228187
43,-22.715924710228187
44,-22.715924710228187
45,-22.94648011950247
46,-22.94648011950247
47,-22.94648011950247
48,-22.94648011950247
49,-23.203030349618572
50,-23.203030349618572
51,-23.203030349618572
52,-23.203030349618572
53,-23.467389774659427
54,-23.467389774659427
55,-23.467389774659427
56,-23.467389774659427
57,-23.77931975784436
58,-23.77931975784436
59,-23.77931975784436
60,-23.77931975784436
61,-24.34099346376009
62,-24.34099346376009
63,-24.34099346376009
64,-24.34099346376009
65,-24.899415013744193
66,-24.899415013744193
67,-24.899415013744193
68,-24.899415013744193
69,-25.465848359945472
70,-25.465848359945472
71,-25.465848359945472
72,-25.465848359945472
73,-26.020987485419965
74,-26.020987485419965
75,-26.020987485419965
76,-26.020987485419965
77,-26.231091579578848
78,-26.231091579578848
79,-26.231091579578848
80,-26.231091579578848
81,-25.928287423604964
82,-25.928287423604964
83,-25.928287423604964
84,-25.928287423604964
85,-25.624486275582147
86,-25.624486275582147
87,-25.624486275582147
88,-25.624486275582147
89,-25.318961857072324
90,-25.318961857072324
91,-25.318961857072324
92,-25.318961857072324
93,-25.011717729613558
94,-25.011717729613558
95,-25.011717729613558
96,-25.011717729613558
97,-24.701899464333803
98,-24.701899464333803
99,-24.701899464333803
100,-24.701899464333803
101,-24.399411421107448
102,-24.399411421107448
103,-24.399411421107448
104,-24.399411421107448
105,-24.03453613890321
106,-24.03453613890321
107,-24.03453613890321
108,-24.03453613890321
109,-23.672520118684442
110,-23.672520118684442
111,-23.672520118684442
112,-23.672520118684442
113,-23.296735386051182
114,-23.296735386051182
115,-23.296735386051182
116,-23.296735386051182
117,-22.915913526578098
118,-22.915913526578098
119,-22.915913526578098
120,-22.915913526578098
121,-23.168540866416365
122,-23.168540866416365
123,-23.168540866416365
124,-23.168540866416365
125,-23.57697875166801
126,-23.57697875166801
127,-23.57697875166801
128,-23.57697875166801
129,-23.991078369335266
130,-23.991078369335266
131,-23.991078369335266
132,-23.991078369335266
133,-24.468823413053308
134,-24.468823413053308
135,-24.468823413053308
136,-24.468823413053308
137,-25.11612423688721
138,-25.11612423688721
139,-25.11612423688721
140,-25.11612423688721
141,-25.765539799420935
142,-25.765539799420935
143,-25.765539799420935
144,-25.765539799420935
145,-26.41002376902751
146,-26.41002376902751
147,-26.41002376902751
148,-26.41002376902751
149,-27.06170227016561
150,-27.06170227016561
151,-27.06170227016561
152,-27.06170227016561
153,-27.704584943732915
154,-27.704584943732915
155,-27.704584943732915
156,-27.704584943732915
157,-27.575640771567215
158,-27.575640771567215
159,-27.575640771567215
160,-27.575640771567215
161,-27.44010299747285
162,-27.44010299747285
163,-27.44010299747285
164,-27.44010299747285
165,-27.305736217060478
166,-27.305736217060478
167,-27.305736217060478
168,-27.305736217060478
169,-27.16322062998943
170,-27.16322062998943
171,-27.16322062998943
172,-27.16322062998943
173,-27.03037565240454
174,-27.03037565240454
175,-27.03037565240454
176,-27.03037565240454
177,-26.887704110500977
178,-26.887704110500977
179,-26.887704110500977
180,-26.887704110500977
181,-26.7533564125102
182,-26.7533564125102
183,-26.7533564125102
184,-26.7533564125102
185,-26.65599816916507
186,-26.65599816916507
187,-26.65599816916507
188,-26.65599816916507
189,-26.58497923875876
190,-26.58497923875876
191,-26.58497923875876
192,-26.58497923875876
193,-26.513489766277942
194,-26.513489766277942
195,-26.513489766277942
196,-26.513489766277942
197,-26.420787082260208
198,-26.420787082260208
199,-26.420787082260208
200,-26.420787082260208
201,-26.132269644806847
202,-26.132269644806847
203,-26.132269644806847
204,-26.132269644806847
205,-25.847351608637258
206,-25.847351608637258
207,-25.847351608637258
208,-25.847351608637258
209,-25.55483387063276
210,-25.55483387063276
211,-25.55483387063276
212,-25.55483387063276
213,-25.26327807787302
214,-25.26327807787302
215,-25.26327807787302
216,-25.26327807787302
217,-24.972189326385998
218,-24.972189326385998
219,-24.972189326385998
220,-24.972189326385998
221,-24.615992019790145
222,-24.615992019790145
223,-24.615992019790145
224,-24.615992019790145
225,-24.26838400794519
226,-24.26838400794519
227,-24.26838400794519
228,-24.26838400794519
229,-23.91327433443392
230,-23.91327433443392
231,-23.91327433443392
232,-23.91327433443392
233,-23.558096259741674
234,-23.558096259741674
235,-23.558096259741674
236,-23.558096259741674
237,-23.19883577602369
238,-23.19883577602369
239,-23.19883577602369
240,-23.19883577602369
241,-22.663096979687545
242,-22.663096979687545
243,-22.663096979687545
244,-22.663096979687545
245,-21.718726071442603
246,-21.718726071442603
247,-21.718726071442603
248,-21.718726071442603
249,-20.770986221523366
250,-20.770986221523366
251,-20.770986221523366
252,-20.770986221523366
253,-19.82328553913741
