,0
0,48.61575084726261
1,57.407045340760384
2,57.279022818910704
3,63.40209511231706
4,62.458904976344776
5,63.92139027698174
6,67.90759024117996
7,65.2669482808895
8,66.2216905866844
9,63.6787585891554
10,61.16237730477345
11,60.46332393461524
12,60.78992414346703
13,61.15366316111816
14,64.0746702241487
15,61.52985480021181
16,58.7257616923119
17,57.51998394693564
18,58.00362207590118
19,58.16359206660598
20,58.96181383975101
21,62.15724481314641
22,68.0765339027539
23,74.90998900976138
24,77.80203461268304
25,76.4801835362074
26,71.76125580520427
27,70.09854341437082
28,67.63147670605693
29,64.65434027395598
30,60.6195758324366
31,62.586214154195325
32,68.07981596069315
33,69.66142053322191
34,66.37982238523574
35,64.81712066068292
36,65.97003548690884
37,68.68818429261083
38,67.53252901928106
39,69.97607619758315
40,70.44203379486022
41,71.12414191410134
42,72.28177679649897
43,73.07705111632941
44,73.36110708939299
45,73.42478551760654
46,73.14242511401353
47,73.12626008730373
48,73.99290808203772
49,75.69385781344481
50,76.64842274469827
51,74.91418032027046
52,74.52380323158268
53,74.75184505103866
54,75.64463099338538
55,79.4696669394867
56,81.62345224325671
57,79.37721803201521
58,75.65326526288696
59,71.40894543316551
60,68.22843180911431
61,67.5372787116237
62,67.4992636372019
63,67.03129344238423
64,65.38626282950948
65,63.1675913428027
66,62.05812372029671
67,63.925815836165285
68,71.47070116648027
69,77.70974693811377
70,79.20546199130371
71,79.53474700571296
72,79.74137166056079
73,80.16970490087886
74,80.22642493059152
75,80.21958807692386
76,80.14751415036054
77,80.11458009084495
78,79.92926788779201
79,79.68525460706849
80,79.36786338838684
81,78.82069002506016
82,78.49394095077497
83,78.2868446299322
84,78.06470796456443
85,77.5134761369066
86,77.08726217062849
87,76.60897903573046
88,76.09845014042664
89,75.31378905714439
90,74.76114922194789
91,74.20370557187782
92,73.6454392953605
93,72.79289261013633
94,72.22019858645973
95,71.6461368823017
96,71.07212016877551
97,70.17926348388815
98,69.6065812761607
99,69.04179062442005
100,68.48865031362467
