,0
0,10.29040966911656
1,11.8846403373458
2,11.872642936000469
3,12.653259406243665
4,12.477330118432032
5,12.756373926552424
6,13.520283501094218
7,13.032130047414284
8,13.223579694576992
9,12.707773348203439
10,12.269645261774523
11,12.176965015000402
12,12.218548955038704
13,12.268404741716777
14,12.787387398277263
15,12.323909956511333
16,11.999010883690307
17,11.894969508831462
18,11.937298395421056
19,11.95091515536995
20,12.019902455531296
21,12.425096452865471
22,13.54565605095644
23,13.532879677169486
24,13.219879262140696
25,13.18074332465252
26,13.814233203652877
27,13.766168403009473
28,13.476851004204429
29,12.90609333993487
30,12.196488029347343
31,12.500016671085692
32,13.546139591480806
33,13.732648654202176
34,13.254126926223714
35,12.939628826166805
36,13.17414994698122
37,13.629247735270734
38,13.460720717907549
39,13.757620253503061
40,13.786571007800395
41,13.811087589172503
42,13.802310589989583
43,13.75838859536823
44,13.735023291032032
45,13.729221660298036
46,13.753373459193318
47,13.754633635578367
48,13.668164708659752
49,13.378048516348166
50,13.16287032836613
51,13.532152014103499
52,13.595567685307733
53,13.559585827495585
54,13.388929023190554
55,13.326732615037923
56,13.568878136253508
57,13.319467173473267
58,13.387032360818377
59,13.814883252514317
60,13.567651595786938
61,13.461501593392471
62,13.4552333258199
63,13.374805985848605
64,13.056527358512204
65,12.607956917161463
66,12.408422652394401
67,12.757266277620342
68,13.815198401754843
69,13.215052463521742
70,13.306486963871114
71,13.331969619028433
72,13.349300347182236
73,13.388942645945859
74,13.39459824119644
75,13.393911245283148
76,13.386756950457844
77,13.383540724579348
78,13.36604437889513
79,13.34448470424483
80,13.318743121446424
81,13.279630065340758
82,13.258912697700037
83,13.246619808629067
84,13.234049441058179
85,13.205006259956688
86,13.183961090448
87,13.160981830984122
88,13.282258352345782
89,13.457932021719781
90,13.558054766295992
91,13.641175339451431
92,13.70750501744663
93,13.777691884519042
94,13.804408838435716
95,13.815099894343877
96,13.80998060900449
97,13.771438808533244
98,13.727859600835615
99,13.671226497812041
100,13.60345858834795
