0.6952,0.6662,0.6361,0.5518,0.5048,0.5153,0.4864,0.4384,0.3856
0.3621,0.3292,0.3164,0.3241,0.3598,0.3793,0.3660,0.4004,0.4215
0.4613,0.5392,0.6480,0.7493,0.7834,0.7672,0.8112,0.8166,0.7482
0.7203,0.7096,0.6672,0.6870,0.7175,0.7291,0.7037,0.7333,0.7816
0.7620,0.6977,0.7321,0.7969,0.7562,0.7128,0.7348,0.7672,0.7638
0.8120,0.8976,0.9289,0.9102,0.8969,0.8783,0.9022,0.9546,0.9499
0.9200,0.8993,0.8723,0.8575,0.8788,0.8966,0.8784,0.8489,0.8240
0.7388,0.6669,0.6992,0.7577,0.7977,0.8274,0.8328,0.8097,0.8162
0.8533,0.8809,0.9018,0.8520,0.7722,0.7723,0.7869,0.7903,0.8118
0.8138,0.7920,0.7799,0.7634,0.7390,0.6943,0.6499,0.6324,0.6378
0.6458,0.6464,0.6239,0.6043,0.6121,0.6274,0.6674,0.7019,0.6879
0.6892,0.7157,0.7282,0.7262,0.7112,0.6835,0.6650,0.6479,0.6353
0.6442,0.6645,0.6715,0.6225,0.5766,0.5876,0.6084,0.5682,0.5490
0.5866,0.6124,0.6198,0.6190,0.6301,0.6643,0.7016,0.6897,0.7032
0.7344,0.7430,0.7203,0.7305,0.7499,0.7521,0.7305,0.7245,0.7457
0.7409,0.7113,0.6688,0.6443,0.6587,0.7037,0.7296,0.7386,0.7331
0.7350,0.7633,0.7997,0.7831,0.7789,0.8030,0.8293,0.8196,0.7989
0.7608,0.7293,0.7626,0.8162,0.8495,0.8635,0.8661,0.8534,0.8597
0.8641,0.8621,0.8922,0.9171,0.9193,0.9336,0.9346,0.9310,0.9435
1.0283,1.0863,1.0168,0.9668,0.9685,0.9733,0.9485,1.0078,1.0894
1.0978,1.0707,1.0331,1.0145,1.0097,1.0172,1.0287,1.0179,0.9842
0.9937,1.0424,1.0642,1.0619,1.0150,0.9478,0.9245,0.9438,0.9540
0.9608,0.9653,0.9108,0.8318,0.8216,0.8406,0.8521,0.8475,0.8179
0.7692,0.7690,0.7923,0.8175,0.8106,0.7506,0.7029,0.7039,0.7297
0.7815,0.8050,0.7780,0.7341,0.7269,0.7272,0.6884,0.6428,0.6434
0.6586,0.6952,0.7340,0.7110,0.6932,0.6983,0.7458,0.8054,0.8275
0.8264,0.8022,0.8205,0.8709,0.8522,0.8450,0.8909,0.9440,0.9813
1.0045,1.0086,0.9753,0.9508,0.9668,0.9957,0.9927,0.9792,0.9721
0.9472,0.9070,0.9330,0.9766,0.9897,0.9983,0.9915,0.9854,0.9736
0.9509,0.9164,0.8800,0.8713,0.8775,0.8722,0.8593,0.8664,0.8552
0.8202,0.8028,0.8144,0.8182,0.8273,0.8511,0.8600,0.8537,0.8620
0.8809,0.8892,0.8679,0.8355,0.8406,0.8714,0.9176,0.9683,1.0151
0.9944,0.9713,0.9589,0.9203,0.8955,0.8858,0.8765,0.8917,0.9453
0.9690,0.9509,0.9707,0.9951,0.9795,0.9523,0.9342,0.8993,0.8436
0.7768,0.7257,0.7056,0.7253,0.7307,0.6738,0.6402,0.6595,0.7056
0.7310,0.7259,0.7228,0.7337,0.7346,0.7037,0.6686,0.6701,0.6673
0.6840,0.7127,0.6836,0.6484,0.6498,0.7163,0.7726,0.7629,0.7067
0.6864,0.7408,0.7966,0.8121,0.8110,0.7791,0.7494,0.7168,0.6819
0.6664,0.6553,0.6386,0.5980,0.5582,0.5305,0.5400,0.5527,0.5307
0.5036,0.4929,0.5002,0.4994,0.4964,0.5104,0.5208,0.5265,0.5321
0.5359,0.5673,0.6150,0.6445,0.6476,0.6393,0.6297,0.5773,0.5192
0.5173,0.5796,0.6118,0.6399,0.6489,0.6446,0.6557,0.6651,0.6553
0.6509,0.6612,0.6404,0.6095,0.6339,0.6681,0.6856,0.7047,0.7183
0.7239,0.7545,0.8123,0.8308,0.8394,0.8512,0.8370,0.8018,0.7725
0.7738,0.7837,0.7938,0.8336,0.8518,0.8398,0.8216,0.8072,0.8039
0.8013,0.7920,0.7745,0.7379,0.7218,0.7327,0.7564,0.7669,0.7343
0.7285,0.7532,0.7330,0.6461,0.6061,0.6801,0.7616,0.7998,0.8161
0.8368,0.8935,0.9259,0.9083,0.8722,0.8427,0.8356,0.8473,0.8340
0.8027,0.7787,0.8070,0.8481,0.8252,0.7631,0.7008,0.6648,0.6660
0.7163,0.7593,0.7715,0.7821,0.8285,0.8565,0.8481,0.8586,0.9279
0.9534,0.9109,0.9187,1.0063,1.0395,1.0294,1.0003,0.9676,0.9486
0.9520,0.9855,0.9891,0.9902,1.0202,1.0291,1.0470,1.0816,1.0983
1.1068,1.1113,1.0983,1.0395,0.9974,1.0383,1.0746,1.0966,1.1215
1.1277,1.1300,1.1179,1.1304,1.1606,1.1859,1.1942,1.1242,1.0318
0.9829,0.9835,1.0390,1.0603,1.0497,1.0269,0.9619,0.9081,0.8571
0.8389,0.8397,0.8107,0.7665,0.6724,0.6015,0.6113,0.6311,0.6194
0.6680,0.7761,0.8289,0.8111,0.8063,0.8314,0.8594,0.9100,0.9497
0.9151,0.8542,0.7977,0.7603,0.7400,0.7229,0.7109,0.7062,0.7247
0.7601,0.7778,0.7802,0.7669,0.7498,0.7556,0.7539,0.7266,0.6988
0.7186,0.7509,0.7391,0.7170,0.7232,0.7813,0.8358,0.8549,0.8718
0.8865,0.8924,0.9082,0.8829,0.8530,0.8729,0.8976,0.9236,0.9678
1.0184,1.0392,1.0154,0.9866,0.9873,0.9972,1.0063,1.0287,1.0577
1.0427,1.0021,0.9849,0.9590,0.9321,0.9299,0.9599,0.9944,0.9780
