,0
0,17.033864565954783
1,16.992396197095314
2,16.86849548833146
3,16.663667290480575
4,16.380392034677755
5,16.02208479222904
6,15.593039028103169
7,15.098356093025883
8,14.543861762908653
9,13.93601137294753
10,13.281785302591425
11,12.588576742699113
12,11.864073814235464
13,11.116138206171659
14,10.352682556994868
15,9.581548818349567
16,8.81038981060011
17,8.046556109129515
18,7.296990288396345
19,6.568130400375594
20,5.865824377972935
21,5.19525683597568
22,4.560889496359343
23,3.9664161961089572
24,3.414733149387092
25,2.907924837469588
26,2.4472655951918045
27,2.03323665763508
28,1.665558131369185
29,1.3432350665726818
30,1.0646165353721748
31,0.8274663730311386
32,0.6290440169984818
33,0.4661936885834732
34,0.33544000682957276
35,0.23308800700049995
36,0.1553254592088734
37,0.0983253475642927
38,0.05834637743113654
39,0.031829427775920086
40,0.015487956134774272
41,0.00639049362442329
42,0.0020335340673200333
43,0.00040332139795500006
44,2.5269104154111e-05
45,2.394620047969609e-64
