,0
0,8.357887427934074
1,8.36842207112395
2,8.338220238614205
3,8.267649207204238
4,8.15756561083778
5,8.009301285730452
6,7.824641297905703
7,7.605794561563098
8,7.355357594032679
9,7.076272079903841
10,6.771777030820577
11,6.4453564262228555
12,6.100683302094099
13,5.741561317985985
14,5.371864876032204
15,4.995478888514968
16,4.6162392923923266
17,4.237875390020108
18,3.8639550555043582
19,3.4978337864947258
20,3.1426085029550794
21,2.8010768990650936
22,2.475703043786756
23,2.1685898019382295
24,1.8814585132713064
25,1.6156362246715692
26,1.3720506229675518
27,1.1512326658243093
28,0.9533267587278943
29,0.7781081800473442
30,0.625007316428745
31,0.4931401400439735
32,0.38134424002120954
33,0.2882196150337035
34,0.21217334455482953
35,0.15146718442688895
36,0.10426707951947625
37,0.06869355337984173
38,0.04287192252082063
39,0.024981291566525027
40,0.013301314690334772
41,0.006255758038126076
42,0.002451966145473233
43,0.0007154213713988253
44,0.0001186873784482115
45,4.2535404735406075e-06
