,0
0,0.5241100478318775
1,0.5243019372730638
2,0.5248802368796404
3,0.5258529538254889
4,0.527233780026146
5,0.5290424980466591
6,0.5313053038583132
7,0.5340547643004013
8,0.5373290077009367
9,0.5411696294808085
10,0.5456177315383236
11,0.5507075990966988
12,0.5564578880301793
13,0.5628609852651082
14,0.5698724332206923
15,0.5774036929741782
16,0.5853223379683359
17,0.5934630257753118
18,0.6016496925233038
19,0.6097250516186243
20,0.6175798466865977
21,0.6251738234398823
22,0.6325436659421597
23,0.6397982381634034
24,0.6471053271959397
25,0.654674828976173
26,0.6627412327304993
27,0.671545020575813
28,0.6813100371992531
29,0.692213423060353
30,0.7043474183083748
31,0.717678741952502
32,0.7320198107263518
33,0.7470311545068672
34,0.7622675399968353
35,0.7772589501831098
36,0.7915945019177713
37,0.8049734740822336
38,0.8172080179909048
39,0.8281880000027302
40,0.8378287071179048
41,0.8468920209789846
42,0.8581309467682245
43,0.8687751404067063
44,0.878897297377982
45,0.8885597006403837
46,0.8977954527622927
47,0.9065448808109052
48,0.9145729424351212
49,0.9221476898924508
50,0.9293266035418553
51,0.9360972860993032
52,0.9424492351493148
53,0.9483780165711653
54,0.9538868269518084
55,0.9589859329899709
56,0.9636909436864106
57,0.9680207968311015
58,0.9719960083964938
59,0.9756374005629703
60,0.9789653073476298
61,0.981999159273291
62,0.9847573286699292
63,0.9872571338433249
64,0.9895149274051321
65,0.9915462192668287
66,0.9933658042013361
67,0.99498787734937
68,0.996426129771547
69,0.9976938214664037
70,0.9988038323081414
71,0.9997686929298425
72,1.0006005982557777
73,1.0013114065444402
74,1.0019126266811693
75,1.0024153962025018
76,1.0028304522306914
77,1.0031680971948167
78,1.0034381609393996
79,1.003649960582912
80,1.0038122592892131
81,1.0039332249521677
82,1.0040203896626154
83,1.004080610721482
84,1.0041200338767344
85,1.0041440593891844
86,1.0041573114671603
87,1.0041636115482495
88,1.0041659558438498
89,1.0041664974965732
90,1.0041665336302077
