,mean,age
0,9.25497649133118,0.0
1,6.872364323315113,0.25
2,6.934510971659998,0.5
3,6.9216171407400005,0.75
4,6.190330882660003,1.0
5,5.125872502060002,1.25
6,5.350294653779997,1.5
7,5.087358119859999,1.75
8,5.335404188900007,2.0
9,5.024284245499992,2.25
10,6.018775040360005,2.5
11,6.136530035239986,2.75
12,6.090337353720017,3.0
13,6.269930999139987,3.25
14,5.9962655120999955,3.5
15,5.610200600940004,3.75
16,6.541443884200007,4.0
17,7.093943910959993,4.25
18,7.192906148619997,4.5
19,6.975445603440008,4.75
20,6.926886853480028,5.0
21,6.417514778520001,5.25
22,5.444450100879976,5.5
23,4.215079096599965,5.75
24,3.373760943819974,6.0
25,3.289128232340005,6.25
26,4.071745512260009,6.5
27,4.54430429944,6.75
28,4.920612293240026,7.0
29,5.342875895480006,7.25
30,6.1776210525000295,7.5
31,6.4541956183000195,7.75
32,5.4000761008599625,8.0
33,4.584478756060008,8.25
34,5.102363062340004,8.5
35,5.609318814000005,8.75
36,5.60354323718002,9.0
37,5.1279151887399905,9.25
38,4.927907231399985,9.5
39,5.301417312559977,9.75
40,4.638569533820004,10.0
41,4.664026189619989,10.25
42,4.4727396019399634,10.5
43,4.295784636320008,10.75
44,4.21441612924005,11.0
45,4.206510560059996,11.25
46,4.252617906699982,11.5
47,4.29050036356,11.75
48,4.210647342000016,12.0
49,3.983851683620003,12.25
50,3.6865266008200024,12.5
51,4.052181437119998,12.75
52,4.045967418399982,13.0
53,4.079031379760011,13.25
54,3.9764101658600453,13.5
55,3.591446536039939,13.75
56,2.712199812460028,14.0
57,2.8353077581199386,14.25
58,3.666928228500012,14.5
59,4.391689034159981,14.75
60,5.087557897859938,15.0
61,5.459664123380037,15.25
62,5.510885291120019,15.5
63,5.522526941660033,15.75
64,5.726682091940006,16.0
65,6.242832803339979,16.25
66,6.7262908564200075,16.5
67,6.646768176640023,16.75
68,5.572797506240079,17.0
69,4.029082394579973,17.25
70,3.469618174279958,17.5
71,3.3770574822000867,17.75
72,3.3266350295599523,18.0
73,3.287738083640022,18.25
74,3.2672420727799363,18.5
75,3.2629547747800416,18.75
76,3.273684478400014,19.0
77,3.3001678783599573,19.25
78,3.3401995395400377,19.5
79,3.3905344252999043,19.75
80,3.4575937214200394,20.0
81,3.5364269174400533,20.25
82,3.615498108499935,20.5
83,3.672147221580019,20.75
84,3.7116104788200346,21.0
85,3.7737361220000594,21.25
86,3.8575372971199613,21.5
87,3.9526263159200425,21.75
88,4.054207523239995,22.0
89,4.159436132919893,22.25
90,4.266372466940027,22.5
91,4.373449215340031,22.75
92,4.479867012559964,23.0
93,4.585751029499988,23.25
94,4.691697042099975,23.5
95,4.797516754959929,23.75
96,4.90318622890004,24.0
97,5.008581487159972,24.25
98,5.113380951979991,24.5
99,5.217302601120025,24.75
100,5.319949432919884,25.0
101,5.420782535700027,25.25
102,5.519541024960006,25.5
103,5.6155213964800055,25.75
104,5.7081368947800115,26.0
105,5.798310955139982,26.25
106,5.88000750831992,26.5
107,5.909607272639846,26.75
108,5.864347492140041,27.0
109,5.79409811773985,27.25
110,5.735071860720154,27.5
111,5.716224007579967,27.75
112,5.756366232699975,28.0
113,5.850242876860079,28.25
114,5.947245037899961,28.5
115,5.942620820880052,28.75
116,5.796165178139859,29.0
117,5.435834233000037,29.25
118,4.948375939159973,29.5
119,4.528711381960079,29.75
120,4.276992984139838,30.0
121,4.180602770760061,30.25
122,4.092341873240002,30.5
123,4.022327912900096,30.75
124,4.013981356759928,31.0
125,4.020503097739947,31.25
126,3.9871510901999727,31.5
127,3.9087799570800144,31.75
128,3.7952302916799,32.0
129,3.6827003064399833,32.25
130,3.580489221680068,32.5
131,3.5606190090999235,32.75
132,3.646999769679951,33.0
133,4.022016582840024,33.25
134,4.689363980440021,33.5
135,5.35750125507991,33.75
136,5.763825957699964,34.0
137,5.837975321259933,34.25
138,5.725151693359976,34.5
139,5.554396151919946,34.75
140,5.32743889302003,35.0
141,5.102735406059992,35.25
142,4.917129184899977,35.5
143,4.774740836519982,35.75
144,4.673515821659976,36.0
145,4.5960984817598955,36.25
146,4.533653303820074,36.5
147,4.480354226379973,36.75
148,4.4415539039400755,37.0
149,4.4159881415000655,37.25
150,4.3964783059199135,37.5
151,4.376795263080112,37.75
152,4.358325383839883,38.0
153,4.340522892640024,38.25
154,4.326445961799891,38.5
155,4.318340937480002,38.75
156,4.312989459160008,39.0
157,4.311553569479997,39.25
158,4.312998061899975,39.5
159,4.325905963300102,39.75
160,4.3458056942799885,40.0
161,4.37568684428004,40.25
162,4.4095555897598615,40.5
163,4.4412358940199965,40.75
164,4.467563164940088,41.0
165,4.486740740100004,41.25
166,4.499033080000004,41.5
167,4.5022847835001585,41.75
168,4.4966282715799935,42.0
169,4.482318512099937,42.25
170,4.457932648640053,42.5
171,4.422018214840023,42.75
172,4.374967374919947,43.0
173,4.318053594920002,43.25
174,4.2510268010198615,43.5
175,4.174872760899916,43.75
176,4.09163776740013,44.0
177,4.004891714560131,44.25
178,3.916522840959942,44.5
179,3.8264514431200496,44.75
180,3.734948237519916,45.0
181,3.644072287879908,45.25
182,3.5561346939599616,45.5
183,3.4725305025601756,45.75
184,3.3946094589400673,46.0
185,3.3224221680999335,46.25
186,3.2609644827799684,46.5
187,3.2104035055799613,46.75
188,3.1703449161600474,47.0
189,3.1381409382797756,47.25
190,3.117614195559895,47.5
191,3.107181324140015,47.75
192,3.106459405520127,48.0
193,3.116583438859834,48.25
194,3.13813043447999,48.5
195,3.1732608831198377,48.75
