,mean,age
224,6.1992049710800075,56.0
225,5.9562966653802505,56.25
226,5.76999891085984,56.5
227,5.6512751583798035,56.75
228,5.603943918580171,57.0
229,5.619510316440028,57.25
230,5.683642675939836,57.5
231,5.788678760199673,57.75
232,5.925148876079902,58.0
233,6.084168444179795,58.25
234,6.25926402506002,58.5
235,6.427599302299768,58.75
236,6.577693232720094,59.0
237,6.700522331380171,59.25
238,6.790329784539836,59.5
239,6.83195795630013,59.75
240,6.847525036140041,60.0
241,6.850196359619986,60.25
242,6.85063470711998,60.5
243,6.834985904680025,60.75
244,6.791446577479974,61.0
245,6.699707298120302,61.25
246,6.564975031819813,61.5
247,6.394945700159951,61.75
248,6.1881421225000395,62.0
249,5.947973698859869,62.25
250,5.684478336519987,62.5
251,5.397627659979662,62.75
252,5.0968419065602575,63.0
253,4.783884314960005,63.25
254,4.466897479860108,63.5
255,4.163937694260085,63.75
256,3.8797126238398505,64.0
257,3.6159695373999057,64.25
258,3.3894695003002653,64.5
259,3.20284923694021,64.75
260,3.07025119369996,65.0
261,3.006770496819854,65.25
262,3.0115676961399913,65.5
263,3.0753874644399275,65.75
264,3.200495445879824,66.0
265,3.3860074174601777,66.25
266,3.625031107399991,66.5
267,3.892479362379845,66.75
268,4.171270029320112,67.0
269,4.434561002740111,67.25
270,4.668044481860306,67.5
271,4.863023328559848,67.75
272,5.0063640461200976,68.0
273,5.104495111619826,68.25
274,5.163845306299891,68.5
275,5.1965375467000285,68.75
276,5.210760955500291,69.0
277,5.216504614419819,69.25
278,5.216843867520083,69.5
279,5.212249593940214,69.75
280,5.197270286399771,70.0
281,5.176269320779966,70.25
282,5.150301939060228,70.5
283,5.127505506539819,70.75
284,5.10644707294,71.0
