,median,age
0,7.2509526431727265,0.0
1,6.950142736120001,0.25
2,7.114001759699999,0.5
3,6.040467112959995,0.75
4,5.377772025639999,1.0
5,5.3732645810999955,1.25
6,4.755332730439996,1.5
7,5.285441357940002,1.75
8,4.895712123319996,2.0
9,5.8080273277399925,2.25
10,6.034931448680005,2.5
11,6.082455273180003,2.75
12,6.10039616361999,3.0
13,5.98782821942001,3.25
14,5.417125136779987,3.5
15,6.207844311440013,3.75
16,6.7920946042799955,4.0
17,6.9784396350199955,4.25
18,6.718671319260039,4.5
19,6.675525584659994,4.75
20,6.314233462419978,5.0
21,5.444657932799998,5.25
22,4.296870508779989,5.5
23,3.371629598559963,5.75
24,3.1575447615400094,6.0
25,3.782120890679977,6.25
26,4.422312545859995,6.5
27,4.650997433260017,6.75
28,5.106793978280024,7.0
29,5.919672388419997,7.25
30,6.563611336019989,7.5
31,5.549622329900018,7.75
32,4.601421261180008,8.0
33,4.869639109600001,8.25
34,5.5000454846399975,8.5
35,5.599015422880001,8.75
36,5.188757845100014,9.0
37,4.846590151420031,9.25
38,5.234343316060034,9.5
39,4.618852810139998,9.75
40,4.617862102020041,10.0
41,4.460773339099973,10.25
42,4.2753850817400405,10.5
43,4.175202913899966,10.75
44,4.162863588280004,11.0
45,4.194284197500025,11.25
46,4.227419618699969,11.5
47,4.182606822000025,11.75
48,3.991082474499933,12.0
49,3.694411422919984,12.25
50,3.892773600940018,12.5
51,4.081705758240048,12.75
52,4.059506833499995,13.0
53,3.9610373667399585,13.25
54,3.586503646619974,13.5
55,2.7982629234400065,13.75
56,2.6825992511600134,14.0
57,3.4313752733798992,14.25
58,4.172729347260031,14.5
59,4.921885986519953,14.75
60,5.371630480880015,15.0
61,5.486007376099963,15.25
62,5.49207466492004,15.5
63,5.656069909660005,15.75
64,6.045421503980037,16.0
65,6.583884634640015,16.25
66,6.633286563259958,16.5
67,5.773764042719961,16.75
68,4.170018385600031,17.0
69,3.4575354574999437,17.25
70,3.349156060480027,17.5
71,3.298214158780013,17.75
72,3.2694305123799836,18.0
73,3.25650376146001,18.25
74,3.2550494853200007,18.5
75,3.262806361580033,18.75
76,3.287571760139997,19.0
77,3.326073660880013,19.25
78,3.3729068007600063,19.5
79,3.433102177260025,19.75
80,3.506610405540016,20.0
81,3.5839574511799697,20.25
82,3.643089941459948,20.5
83,3.677766053799928,20.75
84,3.7328810264800154,21.0
85,3.810447385819998,21.25
86,3.8997385386199994,21.5
87,3.9976939883800924,21.75
88,4.099373488519973,22.0
89,4.20330803752006,22.25
90,4.309569759979922,22.5
91,4.41398891882011,22.75
92,4.521436040640026,23.0
93,4.6276338909599986,23.25
94,4.732226143519995,23.5
95,4.840287607620041,23.75
96,4.947474231019953,24.0
97,5.057221304880045,24.25
98,5.16296998109982,24.5
99,5.268620708339938,24.75
100,5.373629051739954,25.0
101,5.4763191183599815,25.25
102,5.576618715860036,25.5
103,5.673177260859973,25.75
104,5.76550605534004,26.0
105,5.8551124544,26.25
106,5.905503725399967,26.5
107,5.86445574691993,26.75
108,5.787312056240012,27.0
109,5.710981598519879,27.25
110,5.6790495697398455,27.5
111,5.7087933575601255,27.75
112,5.7968584535600485,28.0
113,5.906147241239978,28.25
114,5.919111781619904,28.5
115,5.789924343920006,28.75
116,5.465481303200022,29.0
117,4.98216880794007,29.25
118,4.557718245580077,29.5
119,4.250933898679932,29.75
120,4.1243118328400215,30.0
121,4.051087739559989,30.25
122,3.9713406994000024,30.5
123,3.9218365455400317,30.75
124,3.8767495704599924,31.0
125,3.820657116100051,31.25
126,3.7519611291800175,31.5
127,3.651256736760047,31.75
128,3.548401727920009,32.0
129,3.445596022859945,32.25
130,3.3987486991799187,32.5
131,3.501916443060054,32.75
132,3.861621252500072,33.0
133,4.476919314379984,33.25
134,5.064149901819974,33.5
135,5.4595483551999,33.75
136,5.6036076861599895,34.0
137,5.540146186639959,34.25
138,5.394177049260065,34.5
139,5.187061656199944,34.75
140,4.976699205680006,35.0
141,4.812752628520002,35.25
142,4.701849465500118,35.5
143,4.625344721299939,35.75
144,4.55420154538001,36.0
145,4.487217420339903,36.25
146,4.425503977579979,36.5
147,4.380636312759975,36.75
148,4.33908656829999,37.0
149,4.309609892260028,37.25
150,4.280824629680069,37.5
151,4.261508178759982,37.75
152,4.236981532579989,38.0
153,4.206273172919964,38.25
154,4.193658430799928,38.5
155,4.1897874870199985,38.75
156,4.1891525653400095,39.0
157,4.193909511539914,39.25
158,4.211848245179908,39.5
159,4.236936100879916,39.75
160,4.2673737774600795,40.0
161,4.2848778263600025,40.25
162,4.319407595179996,40.5
163,4.352282915319961,40.75
164,4.379787642419842,41.0
165,4.398024952619949,41.25
166,4.405746491859986,41.5
167,4.403865167319964,41.75
168,4.388940280440011,42.0
169,4.363546275660042,42.25
170,4.324775729999942,42.5
171,4.276892053540109,42.75
172,4.2245339181599775,43.0
173,4.161328779019868,43.25
174,4.091137025640023,43.5
175,4.016086491640181,43.75
176,3.9274529790400265,44.0
177,3.8417460041200684,44.25
178,3.7562397251198263,44.5
179,3.669120049079879,44.75
180,3.580088616380067,45.0
181,3.4930847753802254,45.25
182,3.4046200289799344,45.5
183,3.3219838104598693,45.75
184,3.2491147059599825,46.0
185,3.1839430075599466,46.25
186,3.126706921480036,46.5
187,3.084936299279775,46.75
188,3.050996005059801,47.0
189,3.029195207000157,47.25
190,3.0152176418999943,47.5
191,3.012176340040128,47.75
192,3.019666387219786,48.0
193,3.043046938580119,48.25
194,3.083869640440298,48.5
195,3.1295078181399276,48.75
