,median,age
0,6.83889106298818,0.0
1,5.197952673779998,1.0
2,5.705281543229999,2.0
3,5.928298457815,3.0
4,6.791182785805006,4.0
5,4.856847875639982,5.0
6,4.0032439078349995,6.0
7,5.784925008155007,7.0
8,5.142530319575002,8.0
9,4.972136030680019,9.0
10,4.382305859190005,10.0
11,4.191793556620006,11.0
12,3.9149933141499957,12.0
13,3.6013276925749835,13.0
14,3.802147464579974,14.0
15,5.501445607890005,15.0
16,6.259089186149993,16.0
17,3.5687310155900036,17.0
18,3.260947530185007,18.0
19,3.3549135997600104,19.0
20,3.6028559629949655,20.0
21,3.8601902348250263,21.0
22,4.256560051210016,22.0
23,4.680395920685015,23.0
24,5.109071556334939,24.0
25,5.524936036704986,25.0
26,5.847644495514984,26.0
27,5.7215341455149655,27.0
28,5.853010455084984,28.0
29,4.814075563850025,29.0
30,4.017144204335011,30.0
31,3.775156138125027,31.0
32,3.4736657232549817,32.0
33,4.715559705974982,33.0
34,5.431248144564989,34.0
35,4.779161505250016,35.0
36,4.461889814014967,36.0
37,4.297757317250017,37.0
38,4.20667515582997,38.0
39,4.207961605734937,39.0
40,4.30598552858001,40.0
41,4.396856063554935,41.0
42,4.338538584910026,42.0
43,4.123271553615012,43.0
44,3.79863968933995,44.0
45,3.449944307800024,45.0
46,3.161175233569935,46.0
47,3.02689629850002,47.0
48,3.0690226960950326,48.0
49,3.329352431865061,49.0
50,3.8398246434798864,50.0
51,4.4933768475200395,51.0
52,5.529581010055068,52.0
53,6.962048633904942,53.0
54,6.537049412100032,54.0
55,6.3238579329400295,55.0
56,5.753842835239993,56.0
57,5.650510937115087,57.0
58,6.15212940121495,58.0
59,6.714220164279993,59.0
60,6.7623090578100005,60.0
61,6.361084770494983,61.0
62,5.453471771334989,62.0
63,4.312019495324989,63.0
64,3.2755505254300488,64.0
65,2.976098525864984,65.0
66,3.650595148159937,66.0
67,4.66854544541502,67.0
68,5.098571572804985,68.0
69,5.145172913950034,69.0
70,5.06790151230507,70.0
