,0
0,9.203759940475498
1,10.609010359653295
2,10.598737228133723
3,11.272414170668574
4,11.119424599153154
5,11.362109542993446
6,12.022880597314774
7,11.601753583245605
8,11.767649119559257
9,11.319835010937021
10,10.939212190823248
11,10.859119838333594
12,10.895018214270173
13,10.93813831371422
14,11.389083256942333
15,10.986225128993867
16,10.706526684812124
17,10.617844267365037
18,10.653961255341388
19,10.66556060290908
20,10.7243431394381
21,11.074040632755278
22,12.044509710907779
23,11.981669405508857
24,11.68658674310802
25,11.651238484679455
26,12.259354759110343
27,12.228344176513696
28,11.985755301289544
29,11.492287749251132
30,10.87596496520146
31,11.139143873659332
32,12.044921433356519
33,12.201362694303379
34,11.794057490653206
35,11.521427928504895
36,11.724875391384694
37,12.115350948229258
38,11.971939421428502
39,12.221544742398905
40,12.2441941852467
41,12.261244972067077
42,12.244730742674873
43,12.19916535322092
44,12.175948587702639
45,12.170233910768882
46,12.194149863725736
47,12.195408210052731
48,12.110832903950278
49,11.83572071366635
50,11.634511266241924
51,11.980979922855525
52,12.041245337822579
53,12.00700470941371
54,11.845935854054424
55,11.783385312627079
56,11.9985939671987
57,11.776844019201697
58,11.8441548020053
59,12.262555786661318
60,12.063218554835332
61,11.972608572651128
62,11.967236260753742
63,11.898146708238441
64,11.622924332846011
65,11.233007858471767
66,11.059559687109639
67,11.362885696724005
68,12.262381858259824
69,11.68218463629958
70,11.765143576804123
71,11.788096943785497
72,11.803669302395429
73,11.839180864327508
74,11.844235293884969
75,11.843621477600015
76,11.837226719571833
77,11.834350424883366
78,11.818686604355952
79,11.799345250497717
80,11.776191829517803
81,11.740875299216217
82,11.722097926385839
83,11.710932473314259
84,11.69949727810727
85,11.673016180377065
86,11.653789686746318
87,11.632785314153821
88,11.745992126263145
89,11.910850330594634
90,12.0055505617041
91,12.08486642949943
92,12.14897162282017
93,12.218708911558565
94,12.247081824140809
95,12.260991111338083
96,12.260632422258395
97,12.23249783645026
98,12.197451437379598
99,12.150578432856495
100,12.093577083544268
