0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1037.380215416165,1037.380215416165,1037.380215416165,1037.380215416165,1037.380215416165,1037.568715370664,1037.568715370664,1037.568715370664,1037.568715370664,1037.502329177271,1037.502329177271,1037.502329177271,1037.502329177271,1037.4687295997442,1037.4687295997442,1037.4687295997442,1037.4687295997442,1037.4412836400827,1037.4412836400827,1037.4412836400827,1037.4412836400827,1037.4138140039877,1037.4138140039877,1037.4138140039877,1037.4138140039877,1037.3863352452697,1037.3863352452697,1037.3863352452697,1037.3863352452697,1037.358354636586,1037.358354636586,1037.358354636586,1037.358354636586,1037.330449963042,1037.330449963042,1037.330449963042,1037.330449963042,1037.3023014680182,1037.3023014680182,1037.3023014680182,1037.3023014680182,1037.2741941860572,1037.2741941860572,1037.2741941860572,1037.2741941860572,1037.246510168618,1037.246510168618,1037.246510168618,1037.246510168618,1037.2267746421917,1037.2267746421917,1037.2267746421917,1037.2267746421917,1037.2065063325529,1037.2065063325529,1037.2065063325529,1037.2065063325529,1037.1762860007964,1037.1762860007964,1037.1762860007964,1037.1762860007964,1037.155600442596,1037.155600442596,1037.155600442596,1037.155600442596,1037.1346679935577,1037.1346679935577,1037.1346679935577,1037.1346679935577,1037.1133331662443,1037.1133331662443,1037.1133331662443,1037.1133331662443,1037.0917768928741,1037.0917768928741,1037.0917768928741,1037.0917768928741,1037.0866861207098,1037.0866861207098,1037.0866861207098,1037.0866861207098,1037.1067129026019,1037.1067129026019,1037.1067129026019,1037.1067129026019,1037.1266313641122,1037.1266313641122,1037.1266313641122,1037.1266313641122,1037.1464762685073,1037.1464762685073,1037.1464762685073,1037.1464762685073,1037.1662482376678,1037.1662482376678,1037.1662482376678,1037.1662482376678,1037.2133627583312,1037.2133627583312,1037.2133627583312,1037.2133627583312
977.7418487427688,977.7418487427688,977.7418487427688,977.7418487427688,977.7418487427688,977.8157455563012,977.8157455563012,977.8157455563012,977.8157455563012,977.7897632718816,977.7897632718816,977.7897632718816,977.7897632718816,977.7765952909779,977.7765952909779,977.7765952909779,977.7765952909779,977.7658301247498,977.7658301247498,977.7658301247498,977.7658301247498,977.7550477138127,977.7550477138127,977.7550477138127,977.7550477138127,977.7442537612247,977.7442537612247,977.7442537612247,977.7442537612247,977.7332544997452,977.7332544997452,977.7332544997452,977.7332544997452,977.7222768761732,977.7222768761732,977.7222768761732,977.7222768761732,977.7111950297385,977.7111950297385,977.7111950297385,977.7111950297385,977.7001210915154,977.7001210915154,977.7001210915154,977.7001210915154,977.689205795148,977.689205795148,977.689205795148,977.689205795148,977.6814195248278,977.6814195248278,977.6814195248278,977.6814195248278,977.6734187971513,977.6734187971513,977.6734187971513,977.6734187971513,977.6615976728764,977.6615976728764,977.6615976728764,977.6615976728764,977.6554364892868,977.6554364892868,977.6554364892868,977.6554364892868,977.6491999960045,977.6491999960045,977.6491999960045,977.6491999960045,977.6428417458261,977.6428417458261,977.6428417458261,977.6428417458261,977.6364155367827,977.6364155367827,977.6364155367827,977.6364155367827,977.6348976179589,977.6348976179589,977.6348976179589,977.6348976179589,977.6408683699052,977.6408683699052,977.6408683699052,977.6408683699052,977.6468051270771,977.6468051270771,977.6468051270771,977.6468051270771,977.6527183069337,977.6527183069337,977.6527183069337,977.6527183069337,977.658608145213,977.658608145213,977.658608145213,977.658608145213,977.6761257905926,977.6761257905926,977.6761257905926,977.6761257905926
920.9457647893271,920.9457647893271,920.9457647893271,920.9457647893271,920.9457647893271,920.9164715298723,920.9164715298723,920.9164715298723,920.9164715298723,920.9268617406964,920.9268617406964,920.9268617406964,920.9268617406964,920.9320899252302,920.9320899252302,920.9320899252302,920.9320899252302,920.9363453675655,920.9363453675655,920.9363453675655,920.9363453675655,920.9405907800541,920.9405907800541,920.9405907800541,920.9405907800541,920.9448238936166,920.9448238936166,920.9448238936166,920.9448238936166,920.9491202332574,920.9491202332574,920.9491202332574,920.9491202332574,920.9533907644316,920.9533907644316,920.9533907644316,920.9533907644316,920.957684299683,920.957684299683,920.957684299683,920.957684299683,920.9619572125517,920.9619572125517,920.9619572125517,920.9619572125517,920.9661517813108,920.9661517813108,920.9661517813108,920.9661517813108,920.9691335478915,920.9691335478915,920.9691335478915,920.9691335478915,920.9721884662381,920.9721884662381,920.9721884662381,920.9721884662381,920.9769329787123,920.9769329787123,920.9769329787123,920.9769329787123,920.9835680443103,920.9835680443103,920.9835680443103,920.9835680443103,920.9902888892797,920.9902888892797,920.9902888892797,920.9902888892797,920.9971455879397,920.9971455879397,920.9971455879397,920.9971455879397,921.004080119718,921.004080119718,921.004080119718,921.004080119718,921.0057187517071,921.0057187517071,921.0057187517071,921.0057187517071,920.9992745846464,920.9992745846464,920.9992745846464,920.9992745846464,920.9928709626209,920.9928709626209,920.9928709626209,920.9928709626209,920.9864967648109,920.9864967648109,920.9864967648109,920.9864967648109,920.9801518576583,920.9801518576583,920.9801518576583,920.9801518576583,920.9711558719662,920.9711558719662,920.9711558719662,920.9711558719662
866.8850386685965,866.8850386685965,866.8850386685965,866.8850386685965,866.8850386685965,866.763256125616,866.763256125616,866.763256125616,866.763256125616,866.8062395783558,866.8062395783558,866.8062395783558,866.8062395783558,866.8279555770678,866.8279555770678,866.8279555770678,866.8279555770678,866.845674978705,866.845674978705,866.845674978705,866.845674978705,866.863392195345,866.863392195345,866.863392195345,866.863392195345,866.8810978098942,866.8810978098942,866.8810978098942,866.8810978098942,866.8991088157268,866.8991088157268,866.8991088157268,866.8991088157268,866.9170528847322,866.9170528847322,866.9170528847322,866.9170528847322,866.9351354736746,866.9351354736746,866.9351354736746,866.9351354736746,866.9531732799246,866.9531732799246,866.9531732799246,866.9531732799246,866.9709215748334,866.9709215748334,866.9709215748334,866.9709215748334,866.9835632372266,866.9835632372266,866.9835632372266,866.9835632372266,866.9965367893298,866.9965367893298,866.9965367893298,866.9965367893298,867.0161278468257,867.0161278468257,867.0161278468257,867.0161278468257,867.0339586672683,867.0339586672683,867.0339586672683,867.0339586672683,867.0520260079368,867.0520260079368,867.0520260079368,867.0520260079368,867.0704648430782,867.0704648430782,867.0704648430782,867.0704648430782,867.0891195074646,867.0891195074646,867.0891195074646,867.0891195074646,867.0935285759305,867.0935285759305,867.0935285759305,867.0935285759305,867.0761913808892,867.0761913808892,867.0761913808892,867.0761913808892,867.0589688960808,867.0589688960808,867.0589688960808,867.0589688960808,867.0418310670095,867.0418310670095,867.0418310670095,867.0418310670095,867.0247774070797,867.0247774070797,867.0247774070797,867.0247774070797,866.992149120985,866.992149120985,866.992149120985,866.992149120985
815.4556714827675,815.4556714827675,815.4556714827675,815.4556714827675,815.4556714827675,815.2514182765998,815.2514182765998,815.2514182765998,815.2514182765998,815.3234571898329,815.3234571898329,815.3234571898329,815.3234571898329,815.3598743568912,815.3598743568912,815.3598743568912,815.3598743568912,815.3896002314318,815.3896002314318,815.3896002314318,815.3896002314318,815.4193322544928,815.4193322544928,815.4193322544928,815.4193322544928,815.4490546328907,815.4490546328907,815.4490546328907,815.4490546328907,815.4792997709544,815.4792997709544,815.4792997709544,815.4792997709544,815.50944265691,815.50944265691,815.50944265691,815.50944265691,815.5398285059679,815.5398285059679,815.5398285059679,815.5398285059679,815.570149400821,815.570149400821,815.570149400821,815.570149400821,815.5999936995192,815.5999936995192,815.5999936995192,815.5999936995192,815.6212571385107,815.6212571385107,815.6212571385107,815.6212571385107,815.6430841051296,815.6430841051296,815.6430841051296,815.6430841051296,815.6759122559939,815.6759122559939,815.6759122559939,815.6759122559939,815.7034596071808,815.7034596071808,815.7034596071808,815.7034596071808,815.7313840366229,815.7313840366229,815.7313840366229,815.7313840366229,815.7598946503874,815.7598946503874,815.7598946503874,815.7598946503874,815.7887512281876,815.7887512281876,815.7887512281876,815.7887512281876,815.7955733276888,815.7955733276888,815.7955733276888,815.7955733276888,815.7687516276995,815.7687516276995,815.7687516276995,815.7687516276995,815.7421178948251,815.7421178948251,815.7421178948251,815.7421178948251,815.7156255526197,815.7156255526197,815.7156255526197,815.7156255526197,815.68927377719,815.68927377719,815.68927377719,815.68927377719,815.6357016034837,815.6357016034837,815.6357016034837,815.6357016034837
766.5565409087287,766.5565409087287,766.5565409087287,766.5565409087287,766.5565409087287,766.2791828014831,766.2791828014831,766.2791828014831,766.2791828014831,766.3769704617198,766.3769704617198,766.3769704617198,766.3769704617198,766.4264186248187,766.4264186248187,766.4264186248187,766.4264186248187,766.4667883917774,766.4667883917774,766.4667883917774,766.4667883917774,766.5071729994903,766.5071729994903,766.5071729994903,766.5071729994903,766.5475510006236,766.5475510006236,766.5475510006236,766.5475510006236,766.5886458439384,766.5886458439384,766.5886458439384,766.5886458439384,766.6296084550302,766.6296084550302,766.6296084550302,766.6296084550302,766.67090801624,766.67090801624,766.67090801624,766.67090801624,766.7121260807958,766.7121260807958,766.7121260807958,766.7121260807958,766.7527028896942,766.7527028896942,766.7527028896942,766.7527028896942,766.7816170315748,766.7816170315748,766.7816170315748,766.7816170315748,766.811300937617,766.811300937617,766.811300937617,766.811300937617,766.8558616595492,766.8558616595492,766.8558616595492,766.8558616595492,766.8917614269794,766.8917614269794,766.8917614269794,766.8917614269794,766.9281688331154,766.9281688331154,766.9281688331154,766.9281688331154,766.9653571590388,766.9653571590388,766.9653571590388,766.9653571590388,767.0030136900289,767.0030136900289,767.0030136900289,767.0030136900289,767.0119186904503,767.0119186904503,767.0119186904503,767.0119186904503,766.9769133112073,766.9769133112073,766.9769133112073,766.9769133112073,766.9421677664894,766.9421677664894,766.9421677664894,766.9421677664894,766.907621186448,766.907621186448,766.907621186448,766.907621186448,766.8732724252362,766.8732724252362,766.8732724252362,766.8732724252362,766.8012606010681,766.8012606010681,766.8012606010681,766.8012606010681
720.0893520888073,720.0893520888073,720.0893520888073,720.0893520888073,720.0893520888073,719.7476305066174,719.7476305066174,719.7476305066174,719.7476305066174,719.8680811452748,719.8680811452748,719.8680811452748,719.8680811452748,719.9290015146099,719.9290015146099,719.9290015146099,719.9290015146099,719.978743356891,719.978743356891,719.978743356891,719.978743356891,720.0285089717745,720.0285089717745,720.0285089717745,720.0285089717745,720.078271931878,720.078271931878,720.078271931878,720.078271931878,720.1289239812829,720.1289239812829,720.1289239812829,720.1289239812829,720.1794187016803,720.1794187016803,720.1794187016803,720.1794187016803,720.2303344981906,720.2303344981906,720.2303344981906,720.2303344981906,720.2811555458205,720.2811555458205,720.2811555458205,720.2811555458205,720.3311915235261,720.3311915235261,720.3311915235261,720.3311915235261,720.366849442648,720.366849442648,720.366849442648,720.366849442648,720.4034595890391,720.4034595890391,720.4034595890391,720.4034595890391,720.4583487049423,720.4583487049423,720.4583487049423,720.4583487049423,720.501345920218,720.501345920218,720.501345920218,720.501345920218,720.5449715406698,720.5449715406698,720.5449715406698,720.5449715406698,720.5895538359011,720.5895538359011,720.5895538359011,720.5895538359011,720.6347186820932,720.6347186820932,720.6347186820932,720.6347186820932,720.645402340154,720.645402340154,720.645402340154,720.645402340154,720.6034119020762,720.6034119020762,720.6034119020762,720.6034119020762,720.5617513453609,720.5617513453609,720.5617513453609,720.5617513453609,720.5203475615117,720.5203475615117,720.5203475615117,720.5203475615117,720.4791990977437,720.4791990977437,720.4791990977437,720.4791990977437,720.3910761768315,720.3910761768315,720.3910761768315,720.3910761768315
675.9585888284466,675.9585888284466,675.9585888284466,675.9585888284466,675.9585888284466,675.5606486048745,675.5606486048745,675.5606486048745,675.5606486048745,675.7008875527209,675.7008875527209,675.7008875527209,675.7008875527209,675.7718277690757,675.7718277690757,675.7718277690757,675.7718277690757,675.8297566034043,675.8297566034043,675.8297566034043,675.8297566034043,675.8877182730705,675.8877182730705,675.8877182730705,675.8877182730705,675.9456819990061,675.9456819990061,675.9456819990061,675.9456819990061,676.0046866174131,676.0046866174131,676.0046866174131,676.0046866174131,676.0635132666812,676.0635132666812,676.0635132666812,676.0635132666812,676.1228358311192,676.1228358311192,676.1228358311192,676.1228358311192,676.1820533660459,676.1820533660459,676.1820533660459,676.1820533660459,676.2403613566078,676.2403613566078,676.2403613566078,676.2403613566078,676.2819174559229,676.2819174559229,676.2819174559229,676.2819174559229,676.3245860312229,676.3245860312229,676.3245860312229,676.3245860312229,676.3884952500889,676.3884952500889,676.3884952500889,676.3884952500889,676.4374383215454,676.4374383215454,676.4374383215454,676.4374383215454,676.4871209910534,676.4871209910534,676.4871209910534,676.4871209910534,676.5379180609498,676.5379180609498,676.5379180609498,676.5379180609498,676.5894041602727,676.5894041602727,676.5894041602727,676.5894041602727,676.6015867754086,676.6015867754086,676.6015867754086,676.6015867754086,676.5537130098185,676.5537130098185,676.5537130098185,676.5537130098185,676.5062369683503,676.5062369683503,676.5062369683503,676.5062369683503,676.4590751938975,676.4590751938975,676.4590751938975,676.4590751938975,676.4122259415204,676.4122259415204,676.4122259415204,676.4122259415204,676.3101530397284,676.3101530397284,676.3101530397284,676.3101530397284
634.0714651022861,634.0714651022861,634.0714651022861,634.0714651022861,634.0714651022861,633.6248814528325,633.6248814528325,633.6248814528325,633.6248814528325,633.7822355683096,633.7822355683096,633.7822355683096,633.7822355683096,633.8618448884594,633.8618448884594,633.8618448884594,633.8618448884594,633.9268584473683,633.9268584473683,633.9268584473683,633.9268584473683,633.9919139364059,633.9919139364059,633.9919139364059,633.9919139364059,634.0569768095006,634.0569768095006,634.0569768095006,634.0569768095006,634.123213268087,634.123213268087,634.123213268087,634.123213268087,634.1892551717167,634.1892551717167,634.1892551717167,634.1892551717167,634.2558590960452,634.2558590960452,634.2558590960452,634.2558590960452,634.3223503826113,634.3223503826113,634.3223503826113,634.3223503826113,634.3878255572764,634.3878255572764,634.3878255572764,634.3878255572764,634.4344928258653,634.4344928258653,634.4344928258653,634.4344928258653,634.4824120967103,634.4824120967103,634.4824120967103,634.4824120967103,634.5541246779474,634.5541246779474,634.5541246779474,634.5541246779474,634.6079598123463,634.6079598123463,634.6079598123463,634.6079598123463,634.6626363997655,634.6626363997655,634.6626363997655,634.6626363997655,634.7185680118789,634.7185680118789,634.7185680118789,634.7185680118789,634.7752873192939,634.7752873192939,634.7752873192939,634.7752873192939,634.7887124332608,634.7887124332608,634.7887124332608,634.7887124332608,634.7359653253778,634.7359653253778,634.7359653253778,634.7359653253778,634.6836812420052,634.6836812420052,634.6836812420052,634.6836812420052,634.6317681115148,634.6317681115148,634.6317681115148,634.6317681115148,634.5802239114179,634.5802239114179,634.5802239114179,634.5802239114179,634.4662027090609,634.4662027090609,634.4662027090609,634.4662027090609
594.3378768701724,594.3378768701724,594.3378768701724,594.3378768701724,594.3378768701724,593.8496816076894,593.8496816076894,593.8496816076894,593.8496816076894,594.021669975604,594.021669975604,594.021669975604,594.021669975604,594.1086945932983,594.1086945932983,594.1086945932983,594.1086945932983,594.1797696172499,594.1797696172499,594.1797696172499,594.1797696172499,594.2508956087585,594.2508956087585,594.2508956087585,594.2508956087585,594.322034797743,594.322034797743,594.322034797743,594.322034797743,594.3944624327472,594.3944624327472,594.3944624327472,594.3944624327472,594.4666826023407,594.4666826023407,594.4666826023407,594.4666826023407,594.5395226977699,594.5395226977699,594.5395226977699,594.5395226977699,594.6122449390674,594.6122449390674,594.6122449390674,594.6122449390674,594.6838610451873,594.6838610451873,594.6838610451873,594.6838610451873,594.7349083918357,594.7349083918357,594.7349083918357,594.7349083918357,594.787327971155,594.787327971155,594.787327971155,594.787327971155,594.8657145107925,594.8657145107925,594.8657145107925,594.8657145107925,594.9234803230224,594.9234803230224,594.9234803230224,594.9234803230224,594.9821803549186,594.9821803549186,594.9821803549186,594.9821803549186,595.0422598393623,595.0422598393623,595.0422598393623,595.0422598393623,595.1032179525491,595.1032179525491,595.1032179525491,595.1032179525491,595.1176510920426,595.1176510920426,595.1176510920426,595.1176510920426,595.0609538534928,595.0609538534928,595.0609538534928,595.0609538534928,595.0047821020456,595.0047821020456,595.0047821020456,595.0047821020456,594.9490367381657,594.9490367381657,594.9490367381657,594.9490367381657,594.8937154763028,594.8937154763028,594.8937154763028,594.8937154763028,594.7695959806047,594.7695959806047,594.7695959806047,594.7695959806047
