Generated using GEOMAGIA50.v3.3 on Oct/06/2022,,,,,,,,,,,,,,,,,,,
Age[yr.AD],Sigma-ve[yr.],Sigma+ve[yr.],VADM[E22_AmE2],SigmaVADM[E22_AmE2],SiteLat[deg.],SiteLon[deg.],ArcheoVolcanic,,,,,,,,,,,,
-2600,100,100,9.52,0.95,48,28,Archeo,,,,,,,,,,,,
-2600,100,100,8.73,0.32,48,27,Archeo,,,,,,,,,,,,
-2600,300,300,9.95,0.14,30.629,35.497,Archeo,,,,,,,,,,,,
-2600,300,300,10.06,1.51,30.629,35.497,Archeo,,,,,,,,,,,,
-2588,270,119,11.3,0.38,19.71,204.88,Volcanic,,,,,,,,,,,,
-2585,292,292,10.43,1.6,-35.9,144.5,Archeo,,,,,,,,,,,,
-2582,-1,-1,7.41,0.45,19.483,205.1,Volcanic,,,,,,,,,,,,
-2575,75,75,7.68,0.66,42.12,26.08,Archeo,,,,,,,,,,,,
-2570,70,70,9.11,0.26,42.3,26,Archeo,,,,,,,,,,,,
-2570,50,50,7.88,0.14,41.63,24.4,Archeo,,,,,,,,,,,,
-2560,-1,-1,9.69,-999,29.1,31.1,Archeo,,,,,,,,,,,,
-2555,65,65,10.22,0.2,42.5,26,Archeo,,,,,,,,,,,,
-2553,250,250,7.75,1.02,54,107.5,Archeo,,,,,,,,,,,,
-2552,250,250,9.18,0.91,36.858,60.434,Archeo,,,,,,,,,,,,
-2550,400,400,6.81,0.17,41.7,123.4,Archeo,,,,,,,,,,,,
-2550,50,50,10.95,-999,37.336,-3.964,Archeo,,,,,,,,,,,,
-2550,150,150,6.32,0.16,37.5,22.72,Archeo,,,,,,,,,,,,
-2550,350,350,7.06,0.37,38.2,101.9,Archeo,,,,,,,,,,,,
-2550,100,100,9.49,0.41,34.5,40.9,Archeo,,,,,,,,,,,,
-2550,400,400,7.08,0.2,41.75,123.4,Archeo,,,,,,,,,,,,
-2550,350,350,8.46,0.83,38.2,101.9,Archeo,,,,,,,,,,,,
-2550,100,100,9.25,0.11,34.5,40.9,Archeo,,,,,,,,,,,,
-2550,100,100,9.62,0.22,34.5,40.9,Archeo,,,,,,,,,,,,
-2550,25,25,10.73,0.2,34.5,40.9,Archeo,,,,,,,,,,,,
-2550,25,25,10.43,0.28,34.5,40.9,Archeo,,,,,,,,,,,,
-2550,250,250,5.76,2.4,36.1,139,Archeo,,,,,,,,,,,,
-2550,250,250,7.92,0.81,36.1,139,Archeo,,,,,,,,,,,,
-2550,-1,-1,10.46,0.32,48.1,27.2,Archeo,,,,,,,,,,,,
-2550,100,100,9.58,0.07,34.5,40.9,Archeo,,,,,,,,,,,,
-2550,400,400,7.02,0.83,41.7,123.4,Archeo,,,,,,,,,,,,
-2550,400,400,7.56,0.46,41.7,123.4,Archeo,,,,,,,,,,,,
-2550,400,400,7.09,0.56,41.7,123.4,Archeo,,,,,,,,,,,,
-2550,400,400,7.25,0.29,41.7,123.4,Archeo,,,,,,,,,,,,
-2549,72,72,9.26,0.32,40.8,22.22,Archeo,,,,,,,,,,,,
-2540,50,50,8.36,0.53,53.1,107,Archeo,,,,,,,,,,,,
-2538,-1,-1,9.84,0.59,-0.14,-78,Archeo,,,,,,,,,,,,
-2530,-1,-1,6.54,2.04,36.4,138.52,Archeo,,,,,,,,,,,,
-2525,35,35,10.59,0.94,38.382,38.361,Archeo,,,,,,,,,,,,
-2525,35,35,10.67,0.56,38.382,38.361,Archeo,,,,,,,,,,,,
-2525,35,35,9.91,1.14,38.382,38.361,Archeo,,,,,,,,,,,,
-2525,349,349,8.09,0.5,35.2,139,Volcanic,,,,,,,,,,,,
-2525,50,50,8.84,0.4,42.2,24.3,Archeo,,,,,,,,,,,,
-2523,55,55,10.17,0.41,36.43,40.86,Archeo,,,,,,,,,,,,
-2520,55,55,9.76,0.04,24.083,32.53,Archeo,,,,,,,,,,,,
-2520,100,100,6.52,0.58,41.1,24.02,Archeo,,,,,,,,,,,,
-2500,100,100,9.06,0.05,29.4,31,Archeo,,,,,,,,,,,,
-2500,250,250,9.83,0.98,30,31,Archeo,,,,,,,,,,,,
-2500,100,100,11,0.31,50.5,30.5,Archeo,,,,,,,,,,,,
-2500,-1,-1,7.56,-999,33,111.4,Archeo,,,,,,,,,,,,
-2500,-1,-1,7.6,-999,33,111.4,Archeo,,,,,,,,,,,,
-2500,-1,-1,9.35,-999,33,111.4,Archeo,,,,,,,,,,,,
-2500,100,100,3.72,0.51,42,43,Archeo,,,,,,,,,,,,
-2500,100,100,8.45,0.98,42,43,Archeo,,,,,,,,,,,,
-2500,300,300,6.85,1.98,38,136,Archeo,,,,,,,,,,,,
-2497,250,250,9.34,0.93,36.858,60.434,Archeo,,,,,,,,,,,,
-2496,67,67,8.27,0.34,36.43,40.86,Archeo,,,,,,,,,,,,
-2496,2326,2444,10.57,0.71,19.7996,-155.9997,Volcanic,,,,,,,,,,,,
-2495,5,5,10.18,0.59,29.87,31.21,Archeo,,,,,,,,,,,,
-2490,250,250,5.89,0.96,35.8,139,Archeo,,,,,,,,,,,,
-2478,65,65,8.33,0.05,36.43,40.86,Archeo,,,,,,,,,,,,
-2478,250,250,8.08,1.05,54,107.5,Archeo,,,,,,,,,,,,
-2470,-1,-1,5.69,0.93,36.4,138.52,Archeo,,,,,,,,,,,,
-2466,-1,-1,1.8,0.25,-0.14,-78,Archeo,,,,,,,,,,,,
-2465,25,25,8.22,0.59,29.9,31.19,Archeo,,,,,,,,,,,,
-2450,100,100,6.95,1.39,31,101.9,Archeo,,,,,,,,,,,,
-2450,50,50,9.86,-999,37.336,-3.964,Archeo,,,,,,,,,,,,
-2450,75,75,10.15,0.44,34.5,40.9,Archeo,,,,,,,,,,,,
-2450,75,75,9.77,0.28,34.5,40.9,Archeo,,,,,,,,,,,,
-2450,50,50,9.42,1.08,42.4,42.1,Archeo,,,,,,,,,,,,
-2450,-1,-1,10.02,0.48,47.7,20.5,Archeo,,,,,,,,,,,,
-2450,-1,-1,9.49,0.47,50.1,31.4,Archeo,,,,,,,,,,,,
-2447,65,65,8.58,0.09,36.43,40.86,Archeo,,,,,,,,,,,,
-2447,250,250,9.74,0.97,36.858,60.434,Archeo,,,,,,,,,,,,
-2440,70,70,10.74,1.92,19.7,204.12,Volcanic,,,,,,,,,,,,
-2440,70,70,12.92,3.18,19.7,204.12,Volcanic,,,,,,,,,,,,
-2440,10,10,8.03,0.2,29.9,31.2,Archeo,,,,,,,,,,,,
-2423,-1,-1,7.21,0.3,-0.14,-78,Archeo,,,,,,,,,,,,
-2409,-1,-1,11.52,0.28,44.4,238,Volcanic,,,,,,,,,,,,
-2405,100,100,7.1,0.51,41.1,24.02,Archeo,,,,,,,,,,,,
-2400,50,50,10.9,0.84,38.85,35.64,Archeo,,,,,,,,,,,,
-2400,-1,-1,10.24,-999,29.9,31.2,Archeo,,,,,,,,,,,,
-2400,100,100,7.44,-999,41.9,44.4,Archeo,,,,,,,,,,,,
-2400,250,250,8.53,1.1,54,107.5,Archeo,,,,,,,,,,,,
-2394,70,70,10.18,0.02,24.083,32.53,Archeo,,,,,,,,,,,,
-2392,250,250,9.61,0.97,36.858,60.434,Archeo,,,,,,,,,,,,
-2383,70,70,10.11,0.04,36.43,40.86,Archeo,,,,,,,,,,,,
-2381,177,177,7.77,0.53,42.5,26,Archeo,,,,,,,,,,,,
-2350,100,100,11.39,2.28,31,101.9,Archeo,,,,,,,,,,,,
-2350,50,50,10.39,-999,37.336,-3.964,Archeo,,,,,,,,,,,,
-2350,350,350,7.42,0.54,55,105,Archeo,,,,,,,,,,,,
-2350,50,50,9.12,0.44,34.5,40.9,Archeo,,,,,,,,,,,,
-2350,50,50,9.08,0.13,42.2,24.3,Archeo,,,,,,,,,,,,
-2350,250,250,5.36,0.61,35.8,139,Archeo,,,,,,,,,,,,
-2350,130,130,8.1,0.59,34.9,133.25,Archeo,,,,,,,,,,,,
-2350,-1,-1,9,0.62,50.3,30.6,Archeo,,,,,,,,,,,,
-2349,250,250,8.54,0.86,36.858,60.434,Archeo,,,,,,,,,,,,
-2331,362,362,9.36,0.19,38.3,20.5,Archeo,,,,,,,,,,,,
-2330,-1,-1,5.18,0.59,36.4,138.52,Archeo,,,,,,,,,,,,
-2330,30,30,7.34,0.2,29.87,31.21,Archeo,,,,,,,,,,,,
-2330,30,30,8.42,0.39,29.87,31.21,Archeo,,,,,,,,,,,,
-2329,136,136,9.9,0.04,37.5,22.72,Archeo,,,,,,,,,,,,
-2325,25,25,9.95,0.33,35.7,36.7,Archeo,,,,,,,,,,,,
-2325,25,25,10.42,0.78,35.7,36.7,Archeo,,,,,,,,,,,,
-2325,75,75,9.87,2.09,35.0169,33.3247,Archeo,,,,,,,,,,,,
-2322,136,116,8.5,0.7,19.1308,-155.509,Volcanic,,,,,,,,,,,,
-2321,-1,-1,8.93,0.76,19.483,205.1,Volcanic,,,,,,,,,,,,
-2321,371,371,12.14,2.04,19.58,262.46,Volcanic,,,,,,,,,,,,
-2321,-1,-1,10.79,-999,19.483,205.1,Volcanic,,,,,,,,,,,,
-2320,100,100,5.96,1.2,39.5,359.6,Archeo,,,,,,,,,,,,
-2320,20,20,7.93,0.39,29.87,31.21,Archeo,,,,,,,,,,,,
-2314,-1,-1,3.63,0.11,-0.14,-78,Archeo,,,,,,,,,,,,
-2306,250,250,9.72,1.22,54,107.5,Archeo,,,,,,,,,,,,
-2302,32,32,7.64,0.32,37.0567,40.9958,Archeo,,,,,,,,,,,,
-2302,32,32,8.03,0.2,37.0567,40.9958,Archeo,,,,,,,,,,,,
-2300,100,100,8.9,0.31,34.5,40.9,Archeo,,,,,,,,,,,,
-2300,100,100,6.86,0.59,53.1,107,Archeo,,,,,,,,,,,,
-2300,50,50,10.05,0.36,35.8,36.8,Archeo,,,,,,,,,,,,
-2300,100,100,11.37,0.63,48.5,26.5,Archeo,,,,,,,,,,,,
-2300,50,50,8.89,0.9,36.858,60.434,Archeo,,,,,,,,,,,,
-2298,250,250,9.7,0.97,36.858,60.434,Archeo,,,,,,,,,,,,
-2295,15,15,10.27,0.16,29.5,31.1,Archeo,,,,,,,,,,,,
-2285,100,100,6.98,0.78,41.1,24.02,Archeo,,,,,,,,,,,,
-2284,-1,-1,2.9,0.18,-0.14,-78,Archeo,,,,,,,,,,,,
-2283,163,163,4.47,0.2,59.283,40.167,Archeo,,,,,,,,,,,,
-2270,110,110,12.2,0.55,32.786,130.341,Volcanic,,,,,,,,,,,,
-2255,100,100,9.37,0.6,41.1,24.02,Archeo,,,,,,,,,,,,
-2250,250,250,7.41,0.61,44.6,124,Archeo,,,,,,,,,,,,
-2250,50,50,13.48,-999,37.336,-3.964,Archeo,,,,,,,,,,,,
-2250,50,50,10.79,-999,37.336,-3.964,Archeo,,,,,,,,,,,,
-2250,50,50,10.07,-999,37.336,-3.964,Archeo,,,,,,,,,,,,
-2250,90,90,7.39,2.06,33.2,43.5,Archeo,,,,,,,,,,,,
-2250,100,100,6.3,0.56,29.4166,74.0833,Archeo,,,,,,,,,,,,
-2250,100,100,7.52,0.66,29.4166,74.0833,Archeo,,,,,,,,,,,,
-2250,250,250,9.8,1.11,42,43,Archeo,,,,,,,,,,,,
-2250,250,250,2.68,0.49,36.4,120.2,Archeo,,,,,,,,,,,,
-2250,250,250,4.45,0.49,38.9,121.2,Archeo,,,,,,,,,,,,
-2250,250,250,3.06,0.36,35.6,119.6,Archeo,,,,,,,,,,,,
-2250,250,250,2.31,0.25,36.4,120.2,Archeo,,,,,,,,,,,,
-2250,250,250,5.27,0.16,36.4,120.2,Archeo,,,,,,,,,,,,
-2250,250,250,4.67,0.69,36.4,120.2,Archeo,,,,,,,,,,,,
-2250,250,250,7.16,0.32,52.8,103.3,Archeo,,,,,,,,,,,,
-2245,250,250,9.65,0.97,36.858,60.434,Archeo,,,,,,,,,,,,
-2240,50,50,10.51,0.09,29.9,31.2,Archeo,,,,,,,,,,,,
-2237,90,90,10.39,0.04,24.083,32.53,Archeo,,,,,,,,,,,,
-2230,-1,-1,3.63,0.19,-0.14,-78,Archeo,,,,,,,,,,,,
-2225,100,100,5.63,0.34,41.1,24.02,Archeo,,,,,,,,,,,,
-2216,23,23,10.81,0.59,37.0567,40.9958,Archeo,,,,,,,,,,,,
-2216,23,23,7.59,0.27,37.0567,40.9958,Archeo,,,,,,,,,,,,
-2200,100,200,8.46,0.11,33.017,35.568,Archeo,,,,,,,,,,,,
-2200,100,200,8.99,0.08,33.017,35.568,Archeo,,,,,,,,,,,,
-2200,100,200,8.71,0.01,33.017,35.568,Archeo,,,,,,,,,,,,
-2200,250,250,7.2,1.04,29.5,30.6,Archeo,,,,,,,,,,,,
-2200,100,100,7.6,0.9,42,43,Archeo,,,,,,,,,,,,
-2200,50,50,10.47,1.04,36.858,60.434,Archeo,,,,,,,,,,,,
-2200,200,200,10.48,0.69,36.2,139.3,Archeo,,,,,,,,,,,,
-2194,250,250,11.51,1.15,36.858,60.434,Archeo,,,,,,,,,,,,
-2176,64,64,8.69,0.3,37.0567,40.9958,Archeo,,,,,,,,,,,,
-2176,250,250,9.55,1.2,54,107.5,Archeo,,,,,,,,,,,,
-2175,75,75,8.48,0.75,35.2992,33.3744,Archeo,,,,,,,,,,,,
-2169,-1,-1,5.48,0.27,-0.14,-78,Archeo,,,,,,,,,,,,
-2165,100,100,9.39,0.89,41.1,24.02,Archeo,,,,,,,,,,,,
-2161,222,222,11,1.74,19.5702,258.0588,Volcanic,,,,,,,,,,,,
-2160,-1,-1,11.17,0.25,25.7,32.6,Archeo,,,,,,,,,,,,
-2150,100,100,11.77,2.35,31,101.9,Archeo,,,,,,,,,,,,
-2150,50,50,11.98,-999,37.336,-3.964,Archeo,,,,,,,,,,,,
-2150,50,50,11.48,-999,37.336,-3.964,Archeo,,,,,,,,,,,,
-2150,-1,-1,9.74,-999,25.7,32.6,Archeo,,,,,,,,,,,,
-2150,50,50,9.75,0.4,35.8,36.8,Archeo,,,,,,,,,,,,
-2150,150,150,6.95,0.29,29.87,31.21,Archeo,,,,,,,,,,,,
-2150,50,50,7.26,0.86,42,43,Archeo,,,,,,,,,,,,
-2150,50,50,8.28,0.96,42,43,Archeo,,,,,,,,,,,,
-2150,150,150,8.57,0.74,29.792,35.001,Archeo,,,,,,,,,,,,
-2150,150,150,9.68,0.47,35.7,36.7,Archeo,,,,,,,,,,,,
-2150,150,150,10.04,0.49,35.7,36.7,Archeo,,,,,,,,,,,,
-2150,150,150,9.64,0.82,35.7,36.7,Archeo,,,,,,,,,,,,
-2150,50,50,9.19,0.7,40.73,24.55,Archeo,,,,,,,,,,,,
-2144,250,250,9.43,0.95,36.858,60.434,Archeo,,,,,,,,,,,,
-2143,250,250,9.16,0.91,36.858,60.434,Archeo,,,,,,,,,,,,
-2140,110,110,7.57,0.42,35.65,139.35,Archeo,,,,,,,,,,,,
-2135,100,100,7.71,0.72,41.1,24.02,Archeo,,,,,,,,,,,,
-2110,100,100,8.31,0.83,39.5,359.6,Archeo,,,,,,,,,,,,
-2110,110,110,9.96,1.28,36.2403,36.3822,Archeo,,,,,,,,,,,,
-2103,-1,-1,2.68,0.12,-0.14,-78,Archeo,,,,,,,,,,,,
-2100,100,100,10.73,1.24,53.1,107,Archeo,,,,,,,,,,,,
-2100,100,100,9.75,1.11,53.1,107,Archeo,,,,,,,,,,,,
-2100,100,100,9.29,1.49,42,43,Archeo,,,,,,,,,,,,
-2100,-1,-1,11.02,-999,19.47,205.1,Volcanic,,,,,,,,,,,,
-2100,100,100,9.33,1.06,42,43,Archeo,,,,,,,,,,,,
-2100,100,100,8.95,1.03,42,43,Archeo,,,,,,,,,,,,
-2100,50,50,9.99,1,36.858,60.434,Archeo,,,,,,,,,,,,
-2100,100,100,9.75,1.04,42.4,42.1,Archeo,,,,,,,,,,,,
-2100,100,100,8.3,-999,41.8,47.7,Archeo,,,,,,,,,,,,
-2100,100,100,6.88,1.03,30.663,35.393,Archeo,,,,,,,,,,,,
-2100,250,250,6.45,0.58,52.8,103.3,Archeo,,,,,,,,,,,,
-2098,94,94,8.75,0.36,37.0567,40.9958,Archeo,,,,,,,,,,,,
-2098,94,94,7.16,0.3,37.0567,40.9958,Archeo,,,,,,,,,,,,
-2095,250,250,10.37,1.04,36.858,60.434,Archeo,,,,,,,,,,,,
-2090,250,250,9.81,0.99,36.858,60.434,Archeo,,,,,,,,,,,,
-2088,110,107,15.2,1.58,19.442,204.647,Volcanic,,,,,,,,,,,,
-2087,50,50,11.23,0.06,24.083,32.53,Archeo,,,,,,,,,,,,
-2085,250,250,9.15,1.16,54,107.5,Archeo,,,,,,,,,,,,
-2070,-1,-1,10.92,0.53,-0.14,-78,Archeo,,,,,,,,,,,,
-2060,70,70,7.65,0.1,25.72,32.61,Archeo,,,,,,,,,,,,
-2060,70,70,6.07,0.2,29.87,31.21,Archeo,,,,,,,,,,,,
-2050,50,50,7.92,-999,37.336,-3.964,Archeo,,,,,,,,,,,,
-2050,50,50,8.86,-999,37.336,-3.964,Archeo,,,,,,,,,,,,
-2050,50,50,7.17,-999,37.336,-3.964,Archeo,,,,,,,,,,,,
-2050,400,400,8.43,0.18,36,103.8,Archeo,,,,,,,,,,,,
-2050,50,50,10.11,-999,37.336,-3.964,Archeo,,,,,,,,,,,,
-2050,400,400,7.97,0.54,36,102.8,Archeo,,,,,,,,,,,,
-2050,100,100,8.71,0.31,34.5,40.9,Archeo,,,,,,,,,,,,
-2050,50,50,9.34,1.06,42,43,Archeo,,,,,,,,,,,,
-2050,50,50,8.62,1,42,43,Archeo,,,,,,,,,,,,
-2050,800,800,14.07,1.73,35.1,132.6,Volcanic,,,,,,,,,,,,
-2050,1500,1500,20.63,6.08,35.4,138.7,Volcanic,,,,,,,,,,,,
-2050,2000,2000,11.52,3.68,36.81,326.74,Volcanic,,,,,,,,,,,,
-2050,50,50,8.61,0.32,47.5,33.5,Archeo,,,,,,,,,,,,
-2050,-1,-1,9.31,0.47,48.5,26.5,Archeo,,,,,,,,,,,,
-2042,-1,-1,4.13,0.92,19.483,205.1,Volcanic,,,,,,,,,,,,
-2034,-1,-1,4.09,0.19,-0.14,-78,Archeo,,,,,,,,,,,,
-2030,250,250,10.17,1.02,36.858,60.434,Archeo,,,,,,,,,,,,
-2025,75,75,8.59,0.49,-2.37,279.28,Archeo,,,,,,,,,,,,
-2025,75,75,10.67,0.66,42.2,24.8,Archeo,,,,,,,,,,,,
-2006,106,106,9.34,0.5,37.0567,40.9958,Archeo,,,,,,,,,,,,
-2006,106,106,7.64,0.39,37.0567,40.9958,Archeo,,,,,,,,,,,,
-2000,100,100,8.64,0.42,34.5,40.9,Archeo,,,,,,,,,,,,
-2000,-1,-1,6.17,0.04,59.283,40.167,Archeo,,,,,,,,,,,,
-2000,100,100,5.91,1.32,42,43,Archeo,,,,,,,,,,,,
-2000,100,100,8.57,-999,60.6,23.1,Archeo,,,,,,,,,,,,
-2000,100,100,8.79,0.41,34.5,40.9,Archeo,,,,,,,,,,,,
-2000,100,100,9.1,0.31,34.5,40.9,Archeo,,,,,,,,,,,,
-2000,-1,-1,14.72,-999,36.4,138.52,Volcanic,,,,,,,,,,,,
-2000,-1,-1,7.46,2.5,-1.92,279.28,Archeo,,,,,,,,,,,,
-2000,-1,-1,8.58,-999,33,111.4,Archeo,,,,,,,,,,,,
-2000,300,300,7.58,0.75,29.2,31.8,Archeo,,,,,,,,,,,,
-2000,100,100,6.76,0.81,42,43,Archeo,,,,,,,,,,,,
-2000,100,100,6.59,0.79,42,43,Archeo,,,,,,,,,,,,
-2000,500,500,7.66,-999,38,136,Archeo,,,,,,,,,,,,
-2000,100,100,7.12,1.67,35.0169,33.3247,Archeo,,,,,,,,,,,,
-2000,200,200,8.15,0.1,30.53,111.38,Archeo,,,,,,,,,,,,
-2000,200,200,11.86,0.17,32.83,130.05,Archeo,,,,,,,,,,,,
-2000,100,100,6.9,0.26,34.5,40.9,Archeo,,,,,,,,,,,,
-2000,100,100,7.53,0.31,34.5,40.9,Archeo,,,,,,,,,,,,
-2000,100,100,8.47,0.28,34.5,40.9,Archeo,,,,,,,,,,,,
-1999,99,99,8.93,1.16,25.5,77,Archeo,,,,,,,,,,,,
-1995,201,222,7.9,0.28,28.2483,343.2928,Volcanic,,,,,,,,,,,,
-1990,250,250,12.57,2.48,30,31,Archeo,,,,,,,,,,,,
-1985,212,212,8.44,1.02,28.247,343.28,Volcanic,,,,,,,,,,,,
-1982,250,250,8.32,1.08,54,107.5,Archeo,,,,,,,,,,,,
-1975,50,50,8.86,0.89,39,62,Archeo,,,,,,,,,,,,
-1973,167,198,7.69,1.15,19.192,-155.467,Volcanic,,,,,,,,,,,,
-1970,-1,-1,9.6,0.29,-0.14,-78,Archeo,,,,,,,,,,,,
-1958,172,172,8.55,0.01,26.2,31.9,Archeo,,,,,,,,,,,,
-1955,48,48,11.84,1.4,65.5397,343.0112,Volcanic,,,,,,,,,,,,
-1955,48,48,7.13,-999,65.5,343,Volcanic,,,,,,,,,,,,
-1955,85,85,8.17,0.34,36.2403,36.3822,Archeo,,,,,,,,,,,,
-1950,50,50,8.86,0.42,35.8,36.8,Archeo,,,,,,,,,,,,
-1950,100,100,6.65,1.14,21.85,70.9,Archeo,,,,,,,,,,,,
-1950,50,50,9.41,0.39,37.0567,40.9958,Archeo,,,,,,,,,,,,
-1950,30,30,9.3,0.1,29.87,31.21,Archeo,,,,,,,,,,,,
-1950,50,50,6.24,0.62,53,107,Archeo,,,,,,,,,,,,
-1950,50,50,9.27,0.92,38,62,Archeo,,,,,,,,,,,,
-1931,-1,-1,4.14,0.44,-0.14,-78,Archeo,,,,,,,,,,,,
-1925,50,50,9,0.89,39,62,Archeo,,,,,,,,,,,,
-1910,14,14,7.28,-999,32.54,44.42,Archeo,,,,,,,,,,,,
-1905,-1,-1,8.84,0.07,39.04,356.51,Archeo,,,,,,,,,,,,
-1900,250,250,6.77,-999,32.54,44.42,Archeo,,,,,,,,,,,,
-1900,100,100,10.07,-999,37.336,-3.964,Archeo,,,,,,,,,,,,
-1900,100,100,9.95,-999,37.336,-3.964,Archeo,,,,,,,,,,,,
-1900,100,100,10.06,-999,37.336,-3.964,Archeo,,,,,,,,,,,,
-1900,50,50,10.38,1.04,39.5,359.6,Archeo,,,,,,,,,,,,
-1900,100,100,6.02,0.39,55,105,Archeo,,,,,,,,,,,,
-1900,100,100,4.22,0.56,42,43,Archeo,,,,,,,,,,,,
-1900,100,100,8.04,0.33,35.7,36.7,Archeo,,,,,,,,,,,,
-1900,100,100,7.62,0.54,36.2403,36.3822,Archeo,,,,,,,,,,,,
-1900,100,100,8.33,0.7,36.2403,36.3822,Archeo,,,,,,,,,,,,
-1900,100,100,8.31,1.48,36.2403,36.3822,Archeo,,,,,,,,,,,,
-1900,100,100,8.71,0.76,36.2403,36.3822,Archeo,,,,,,,,,,,,
-1892,57,57,10.12,2.13,38.85,35.64,Archeo,,,,,,,,,,,,
-1892,57,57,9.57,0.75,38.85,35.64,Archeo,,,,,,,,,,,,
-1892,57,57,9.02,1.26,38.85,35.64,Archeo,,,,,,,,,,,,
-1892,57,57,9.51,0.31,38.85,35.64,Archeo,,,,,,,,,,,,
-1892,57,57,9.44,0.89,38.85,35.64,Archeo,,,,,,,,,,,,
-1891,250,250,7.57,1.01,54,107.5,Archeo,,,,,,,,,,,,
-1885,105,105,6.12,0.39,29.26,30.98,Archeo,,,,,,,,,,,,
-1880,150,150,6.47,1.23,19.45,257.89,Volcanic,,,,,,,,,,,,
-1878,75,75,7.72,0.64,35.4333,24.1166,Archeo,,,,,,,,,,,,
-1878,270,270,7.99,1.06,35.42,24.52,Archeo,,,,,,,,,,,,
-1875,100,100,8.44,0.84,39,62,Archeo,,,,,,,,,,,,
-1875,-1,-1,9.89,0.3,39.04,356.51,Archeo,,,,,,,,,,,,
-1875,125,125,9.9,0.16,36.8536,36.1572,Archeo,,,,,,,,,,,,
-1862,187,187,10.88,0.16,35.5,24.02,Archeo,,,,,,,,,,,,
-1860,20,20,7.75,0.1,25.72,32.66,Archeo,,,,,,,,,,,,
-1857,67,67,6.2,0.6,28.035,344.417,Volcanic,,,,,,,,,,,,
-1852,-1,-1,7.97,0.78,19.7,246.4,Volcanic,,,,,,,,,,,,
-1850,250,250,11.4,0.7,41.6,120.5,Archeo,,,,,,,,,,,,
-1850,20,20,10.57,-999,38.85,35.64,Archeo,,,,,,,,,,,,
-1850,100,100,8.08,0.47,29.4166,74.0833,Archeo,,,,,,,,,,,,
-1850,100,100,7.74,1.24,22.5166,72.25,Archeo,,,,,,,,,,,,
-1850,50,50,9.94,-999,26.185,31.919,Archeo,,,,,,,,,,,,
-1850,50,50,8.01,0.8,38,62,Archeo,,,,,,,,,,,,
-1850,-1,-1,9.98,0.1,39.04,356.51,Archeo,,,,,,,,,,,,
-1849,53,53,8.67,1.14,25.5,77,Archeo,,,,,,,,,,,,
-1846,3,3,7.21,-999,32.54,44.42,Archeo,,,,,,,,,,,,
-1846,24,24,7.77,0.69,36.2403,36.3822,Archeo,,,,,,,,,,,,
-1845,15,15,7.61,-999,32.54,44.42,Archeo,,,,,,,,,,,,
-1834,73,73,6.44,0.68,35.05,24.8,Archeo,,,,,,,,,,,,
-1834,260,260,6.92,1.17,35.18,25.03,Archeo,,,,,,,,,,,,
-1830,0,0,9.11,-999,38,-3.4,Archeo,,,,,,,,,,,,
-1830,-1,-1,7.62,0.03,39.04,356.51,Archeo,,,,,,,,,,,,
-1825,250,250,7.36,-999,32.54,44.42,Archeo,,,,,,,,,,,,
-1825,75,75,7.88,0.22,34.5,40.9,Archeo,,,,,,,,,,,,
-1825,75,75,7.57,0.17,34.5,40.9,Archeo,,,,,,,,,,,,
-1825,75,75,7.09,0.5,34.5,40.9,Archeo,,,,,,,,,,,,
-1825,75,75,7.8,0.48,35,40.6,Archeo,,,,,,,,,,,,
-1825,75,75,8.08,0.46,34.9,40.6,Archeo,,,,,,,,,,,,
-1825,75,75,8.01,0.17,34.5,40.9,Archeo,,,,,,,,,,,,
-1820,50,50,7.13,0.71,39.5,359.6,Archeo,,,,,,,,,,,,
-1815,25,25,4.41,0.29,29.81,31.21,Archeo,,,,,,,,,,,,
-1815,25,25,6.47,0.78,29.81,31.21,Archeo,,,,,,,,,,,,
-1810,-1,-1,9.86,0.16,37.98,356.53,Archeo,,,,,,,,,,,,
-1810,-1,-1,9.45,0.04,37.98,356.53,Archeo,,,,,,,,,,,,
-1810,-1,-1,10.69,0.09,37.98,356.53,Archeo,,,,,,,,,,,,
-1810,-1,-1,10.51,0.11,37.98,356.53,Archeo,,,,,,,,,,,,
-1810,-1,-1,7.77,0.02,37.98,356.53,Archeo,,,,,,,,,,,,
-1810,0,0,7.77,-999,38,-3.4,Archeo,,,,,,,,,,,,
-1810,0,0,7.73,-999,38,-3.4,Archeo,,,,,,,,,,,,
-1810,-1,-1,7.08,0.35,39.04,356.51,Archeo,,,,,,,,,,,,
-1800,300,300,7.48,0.51,53.1,107,Archeo,,,,,,,,,,,,
-1800,300,300,7.37,0.56,53.1,107,Archeo,,,,,,,,,,,,
-1800,100,100,7.26,0.33,32.585,35.184,Archeo,,,,,,,,,,,,
-1800,100,100,8.07,0.17,32.585,35.184,Archeo,,,,,,,,,,,,
-1800,100,100,8.17,0.47,32.585,35.184,Archeo,,,,,,,,,,,,
-1800,100,100,8.09,0.04,32.585,35.184,Archeo,,,,,,,,,,,,
-1800,250,250,8.07,2.2,33.2,43.5,Archeo,,,,,,,,,,,,
-1800,-1,-1,7.62,-999,34.7,113.7,Archeo,,,,,,,,,,,,
-1800,0,0,7.41,-999,38,-3.4,Archeo,,,,,,,,,,,,
-1800,0,0,6.63,-999,38,-3.4,Archeo,,,,,,,,,,,,
