Generated using GEOMAGIA50.v3.3 on Oct/06/2022,,,,,,,,,,,,,,,,,,,
Age[yr.AD],Sigma-ve[yr.],Sigma+ve[yr.],VADM[E22_AmE2],SigmaVADM[E22_AmE2],SiteLat[deg.],SiteLon[deg.],ArcheoVolcanic,,,,,,,,,,,,
-39000,-1,-1,3.36,-999,19.47,205.1,Volcanic,,,,,,,,,,,,
-38800,-1,-1,5.06,0.47,19.47,205.1,Volcanic,,,,,,,,,,,,
-38701,-1,-1,3.41,0.3,19.483,205.1,Volcanic,,,,,,,,,,,,
-38701,-1,-1,4.95,1.32,19.483,205.1,Volcanic,,,,,,,,,,,,
-38600,-1,-1,6.05,0.52,19.47,205.1,Volcanic,,,,,,,,,,,,
-38600,-1,-1,6.2,1.28,19.47,205.1,Volcanic,,,,,,,,,,,,
-38549,-1,-1,3.65,0.26,19.483,205.1,Volcanic,,,,,,,,,,,,
-38549,-1,-1,4.97,1.01,19.483,205.1,Volcanic,,,,,,,,,,,,
-38450,1100,1100,1.28,0.41,45.741,2.8722,Volcanic,,,,,,,,,,,,
-38398,-1,-1,2.41,1.53,19.483,205.1,Volcanic,,,,,,,,,,,,
-38350,1900,1900,0.96,0.23,45.7598,2.9088,Volcanic,,,,,,,,,,,,
-38313,-1,-1,9.1,1.12,19.4,246.5,Volcanic,,,,,,,,,,,,
-38250,1300,1300,1.22,0.15,45.7422,2.97,Volcanic,,,,,,,,,,,,
-38242,-1,-1,4.54,0.78,19.483,205.1,Volcanic,,,,,,,,,,,,
-38147,-1,-1,5.43,0.25,19.7,246.4,Volcanic,,,,,,,,,,,,
-38100,-1,-1,10.41,1.12,19.47,205.1,Volcanic,,,,,,,,,,,,
-38086,-1,-1,5.05,1.49,19.483,205.1,Volcanic,,,,,,,,,,,,
-38086,-1,-1,8.13,0.74,19.483,205.1,Volcanic,,,,,,,,,,,,
-38000,-1,-1,9.34,-999,19.47,205.1,Volcanic,,,,,,,,,,,,
-38000,3000,3000,8.29,0.09,21.7603,314.7713,Volcanic,,,,,,,,,,,,
-37936,-1,-1,8.46,0.36,19.483,205.1,Volcanic,,,,,,,,,,,,
-37936,-1,-1,8.91,0.74,19.483,205.1,Volcanic,,,,,,,,,,,,
-37800,-1,-1,7.75,-999,19.47,205.1,Volcanic,,,,,,,,,,,,
-37785,-1,-1,7.03,0.63,19.483,205.1,Volcanic,,,,,,,,,,,,
-37785,-1,-1,9.16,0.47,19.483,205.1,Volcanic,,,,,,,,,,,,
-37600,-1,-1,6.05,-999,19.47,205.1,Volcanic,,,,,,,,,,,,
-37500,-1,-1,5.62,0.96,19.47,205.1,Volcanic,,,,,,,,,,,,
-37450,0,0,6.92,0.01,19.7128,-155.0542,Volcanic,,,,,,,,,,,,
-37450,0,0,7.95,1.43,19.7128,-155.0542,Volcanic,,,,,,,,,,,,
-37300,-1,-1,6.67,-999,19.47,205.1,Volcanic,,,,,,,,,,,,
-37100,-1,-1,4.75,0.18,19.47,205.1,Volcanic,,,,,,,,,,,,
-37050,160,160,9.3,1.35,19.22,260.73,Volcanic,,,,,,,,,,,,
